URL_SCL_E,Time,Duration,Name,Available Slots,Trainer,Room
https://www.eversports.de/e/class/HZp7xwq,17:00,55 Min,Unisport Pole,"ab 9,00 €1 freier Platz",Unbekannt,Unbekannt
https://www.eversports.de/e/class/OGZLLZ2pbEl,18:10,55 Min,Pole Technik Beginner,"ab 20,00 €ausgebucht",Unbekannt,Unbekannt
https://www.eversports.de/e/class/GMRKl7XvIqS,19:20,55 Min,Pole Technik Mittelstufe,"ab 20,00 €4 freie Plätze",Unbekannt,Unbekannt
https://www.eversports.de/e/class/zFtprlu_h3G,19:20,55 Min,Flexibility,"ab 18,00 €mehr als 5 Plätze",Unbekannt,Unbekannt
https://www.eversports.de/e/class/0BY6nZfDkhc,20:30,70 Min,Aerial Hammock,"ab 25,00 €mehr als 5 Plätze",Unbekannt,Unbekannt
https://www.eversports.de/e/class/FchA6GSlUFb,17:00,55 Min,Unisport Pole Technik,"ab 9,00 €2 freie Plätze",Unbekannt,Unbekannt
https://www.eversports.de/e/class/1GOmwNBQ5HD,18:10,55 Min,Pole Choreo Beginner,"ab 20,00 €mehr als 5 Plätze",Unbekannt,Unbekannt
https://www.eversports.de/e/class/tzK0ZlG3QBw,18:10,70 Min,Hoop Beginner,"ab 20,00 €4 freie Plätze",Unbekannt,Unbekannt
https://www.eversports.de/e/class/No1JOQ9nX0F,19:20,55 Min,Pole Technik Mittelstufe,"ab 20,00 €3 freie Plätze",Unbekannt,Unbekannt
https://www.eversports.de/e/class/HXAvYmDuBKb,20:30,55 Min,Pole Technik Beginner,"ab 20,00 €2 freie Plätze",Unbekannt,Unbekannt
https://www.eversports.de/e/class/46atZzUxYRX,18:10,55 Min,Contemporary,"ab 9,00 €2 freie Plätze",Unbekannt,Unbekannt
https://www.eversports.de/e/class/nGuzjJLFRJ4,19:20,55 Min,Frame Up,"ab 20,00 €mehr als 5 Plätze",Unbekannt,Unbekannt
https://www.eversports.de/e/class/yaQ3Dq2RijA,20:30,55 Min,Pole Choreo Beginner,"ab 20,00 €5 freie Plätze",Unbekannt,Unbekannt
https://www.eversports.de/e/class/w934dON1KMd,20:30,55 Min,High Heels interm.,Abgesagt,Unbekannt,Unbekannt
https://www.eversports.de/e/class/mTT4Wt4,17:00,55 Min,Unisport Pole,"ab 9,00 €4 freie Plätze",Unbekannt,Unbekannt
https://www.eversports.de/e/class/3XRj2qmIxs,18:10,55 Min,Pole Choreo Mittelstufe,"ab 20,00 €3 freie Plätze",Unbekannt,Unbekannt
https://www.eversports.de/e/class/miql_Ra9Ww-,19:20,55 Min,Pole in Heels,"ab 20,00 €5 freie Plätze",Unbekannt,Unbekannt
https://www.eversports.de/e/class/N5t1gHPWXB7,20:30,55 Min,Unisport Pole Choreo,"ab 9,00 €4 freie Plätze",Unbekannt,Unbekannt
https://www.eversports.de/e/class/r1NQWa4,20:30,55 Min,Flexibility,"ab 18,00 €mehr als 5 Plätze",Unbekannt,Unbekannt
https://www.eversports.de/e/class/oDf7HhT3nHM,17:00,55 Min,Pole Technik Beginner,"ab 20,00 €5 freie Plätze",Unbekannt,Unbekannt
https://www.eversports.de/e/class/M4zQ6AOdqYo,18:10,55 Min,Pole in Heels,"ab 20,00 €mehr als 5 Plätze",Unbekannt,Unbekannt
