   Workshop Name,Beschreibung,Studio Name,Location,Category,Date,URL_E,Time
Partner Akrobatik,"Du möchtest coole Posen und akrobatische Elemente zu zweit mit einem Partner erlernen. Patricia und Thuy nehmen euch an die Hand und zeigen euch verschiedene Partnerposen. Dieser Workshop ist nicht nur was für Leute mit Erfahrung in Akrobatik oder Acroyoga, sondern auch für Anfänger geeignet. Übrigens müsst ihr keinen Partner mitbringen :)",Pole Land,Di. 13. Februar 19:20,Akrobatik,"Begann am Dienstag, 12. Dezember 2023",https://www.eversports.de/e/workshop/ezegoNQ,"Kölner Straße 336a, 40227 Düsseldorf"
Pole Conditioning,"Wir trainieren spezifische Übungen an der Pole um Kraft für unsere Deadlifts aufzubauen. Wir konzentrieren uns auf Shouldermount & Iguana. Du kannst weder Shouldermount noch Iguana? Kein Problem, dann werden wir dich darauf vorbereiten.",Pole Land,12:30 - 14:00,Polesport,"Begann am Samstag, 16. Dezember 2023",https://www.eversports.de/e/workshop/2XKxmpf,"Kölner Straße 336a, 40227 Düsseldorf"
Aerial Hoop Workshop,Beginner/ Mittelstufe Mit Erfahrungl Habt ihr Interesse am akrobatischen Luftring? In diesem Workshop ist Rike für euch da. Sie zeigt Tricks und Combos für Beginner und Intermediate Level im Aerial Hoop. Ihr braucht eine lange enganliegende Sporthose und ein T- Shirt. Alles andere haben wir für euch da!,Pole Land,"Ticket für So. 07.01.2024, 12:00 - 13:30",Aerial Hoop,"Sonntag, 7. Januar 2024",https://www.eversports.de/e/workshop/l1ku0Fh,12:00 - 13:30
Aerial Pole,"Here will be all of the informations. What the people can expect, what they should wear and what they need. Please send me a photo for the marketing :) How many people can join your class?",Pole Land,"Ticket für Mi. 10.01.2024, 17:00 - 18:30",Aerial Akrobatik,"Beginnt am Mittwoch, 10. Januar 2024",https://www.eversports.de/e/workshop/LDlefbA,"Kölner Straße 336a, 40227 Düsseldorf"
Pole Workshop Special,Nichts für Langweiler! Louisa plant mit euch am 26. November dynamische Eingänge in den Inside Leghang. Achtung Spoiler: Eine Variante wäre aus dem Superman. Wie ihr seht ist dieser Workshop nichts für Beginner und ein Superman ist Voraussetzung. Also meldet euch schnell an!,Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",Power Pole,"Sonntag, 14. Januar 2024",https://www.eversports.de/e/workshop/VbHcTpt,13:00 - 14:30
Pole Combo,Pole Combo mit unserem I Doetzchen,Pole Land,Spinning Pole Combo 15:00 - 16:30,Poledance,"Sonntag, 18. Februar 2024",https://www.eversports.de/e/workshop/S8noX1Z,15:00 - 16:30
Favourit Pole Combos and Splitz,"Dan's favourit combos This class will cover Dan’s favourite combos which may have been seen in some of his performances. He will adapt the combo to each level of student to make it fun for all in class. Students ar e welcome to give moves which they like to do or would like to learn and Dan will try to help you create a combo around this trick. So not only will we get to learn Dan’s combos, we will also get the techniques to learn how to make our very own combo’s with moves which we love. This is a fairly advanced class so for this class you will ideally be working towards airinverts, Shoulder mount, superman, extended butterflies & Gemini/ scorpios. Splitz When Dan first started pole he could barely touch his toes so he is no stranger to the struggle of flexibility training. For those people looking to improve their splits this is a great class to come and learn the techniques Dan used to get his splits to wher e they are today. And for those who love splits already, come and learn some more advanced techniques to make your splits even more amazing. This class will be 40 mins split stretching and technique and 50 mins splits tricks on the pole. This class is suitable for Intermediate and above students. We recommend you can do Gemini, scorpio, shoulder mount and basic sits on the pole.",Pole Land,Splitz 14:30 - 16:00,Poledance,"Beginnt am Samstag, 20. April 2024",https://www.eversports.de/e/workshop/OGUBUS8,"Kölner Straße 336a, 40227 Düsseldorf"
Pole Basic D Anfängerblock Level 1,"Du hast Lust auf Pole Dance, aber wenig oder gar keine Erfahrung? Dann bist Du in unserem neuen Anfängerkurs genau richtig! Wir beginnen mit Grundschritten und -Techniken, um uns Schritt für Schritt an neue Tricks und eine Choreografie heran zu tasten. Bitte ein ärmelloses Shirt und eine kurze Hose mitbringen.",Ramonas Tanzschmiede,11:00 - 12:00,Poledance,"Begann am Sonntag, 3. Dezember 2023",https://www.eversports.de/e/workshop/YoIv8yB,"Ückendorfer Straße 121, 45886 Gelsenkirchen"
Pole Basic E Anfängerblock Level 1,"Du hast Lust auf Pole Dance, aber wenig oder gar keine Erfahrung? Dann bist Du in unserem neuen Anfängerkurs genau richtig! Wir beginnen mit Grundschritten und -Techniken, um uns Schritt für Schritt an neue Tricks und eine Choreografie heran zu tasten. Bitte ein ärmelloses Shirt und eine kurze Hose mitbringen. 2 Kleine Handtücher (1 um die Stange für Dich zwischendurch abwischen zu können, 1 um die Stange und die Matte anschliießend für andere Teilnehmer zu reinigen)",Ramonas Tanzschmiede,12:15 - 13:15,Poledance,"Begann am Sonntag, 3. Dezember 2023",https://www.eversports.de/e/workshop/DgFj6R1,"Ückendorfer Straße 121, 45886 Gelsenkirchen"
STRONG Nation Block,In unserem 4-wöchigen Blockkurs kannst Du Dich direkt fit für das Jahr 2024 machen! Sei dabei!,Ramonas Tanzschmiede,12:45 - 13:45,Strong Nation®,"Beginnt am Samstag, 13. Januar 2024",https://www.eversports.de/e/workshop/qpLF3tB,"Ückendorfer Straße 121, 45886 Gelsenkirchen"
