Workshop Name,Workshop Date,Workshop Price,Workshop Units,Workshop Studio,Workshop Address,URL_E
Partner Akrobatik,Dez12bis Feb 13,"ab 30,00 €",3 Einheiten,Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",https://www.eversports.de/e/workshop/ezegoNQ
Pole Conditioning,Dez16bis Jan 07,"ab 25,00 €",2 Einheiten,Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",https://www.eversports.de/e/workshop/2XKxmpf
Aerial Hoop Workshop,Jan07Sonntag,"ab 35,00 €",1 Einheit,Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",https://www.eversports.de/e/workshop/l1ku0Fh
Aerial Pole,Jan10bis Jan 10,"ab 70,00 €",2 Einheiten,Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",https://www.eversports.de/e/workshop/LDlefbA
Pole Workshop Special,Jan14Sonntag,"ab 30,00 €",1 Einheit,Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",https://www.eversports.de/e/workshop/VbHcTpt
Pole Combo,Feb18Sonntag,"ab 35,00 €",1 Einheit,Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",https://www.eversports.de/e/workshop/S8noX1Z
Favourit Pole Combos and Splitz,Apr20bis Apr 20,"ab 79,00 €",2 Einheiten,Pole Land,"Kölner Straße 336a, 40227 Düsseldorf",https://www.eversports.de/e/workshop/OGUBUS8
Pole Basic D Anfängerblock Level 1,Dez03bis Jan 21,"ab 75,00 €",6 Einheiten,Ramonas Tanzschmiede,"Ückendorfer Straße 121, 45886 Gelsenkirchen",https://www.eversports.de/e/workshop/YoIv8yB
Pole Basic E Anfängerblock Level 1,Dez03bis Jan 21,"ab 75,00 €",6 Einheiten,Ramonas Tanzschmiede,"Ückendorfer Straße 121, 45886 Gelsenkirchen",https://www.eversports.de/e/workshop/DgFj6R1
STRONG Nation Block,Jan13bis Feb 03,"ab 35,00 €",4 Einheiten,Ramonas Tanzschmiede,"Ückendorfer Straße 121, 45886 Gelsenkirchen",https://www.eversports.de/e/workshop/qpLF3tB
Urban Retreat: Winter Magie & Innere Einkehr,Dez29Freitag,"ab 75,00 €",1 Einheit,YOGA at Lobe Block,"Böttgerstraße 16, 13357 Berlin",https://www.eversports.de/e/workshop/b-LAHMn
NEW YEAR Yoga & Gong Workshop with White Sound,Jan01Montag,"ab 55,00 €",1 Einheit,YOGA at Lobe Block,"Böttgerstraße 16, 13357 Berlin",https://www.eversports.de/e/workshop/0nDlAHx
Radiant Rest with Yin Yoga & Gong Sound Bath,Jan07Sonntag,"ab 18,00 €",1 Einheit,YOGA at Lobe Block,"Böttgerstraße 16, 13357 Berlin",https://www.eversports.de/e/workshop/BjFWuvA
BUDOKON WORKSHOP with Winnie & Anja,Jan13Samstag,"ab 50,00 €",1 Einheit,YOGA at Lobe Block,"Böttgerstraße 16, 13357 Berlin",https://www.eversports.de/e/workshop/w_3o5kg
ASSIST WORKSHOP: TWIST ASSISTS with Juan Sierra,Jan20Samstag,"ab 55,00 €",1 Einheit,YOGA at Lobe Block,"Böttgerstraße 16, 13357 Berlin",https://www.eversports.de/e/workshop/sf7XSTZ
Jump Back Jump Through Foundations of Ashtanga Yoga with Melina & Alex,März02Samstag,"ab 38,00 €",1 Einheit,YOGA at Lobe Block,"Böttgerstraße 16, 13357 Berlin",https://www.eversports.de/e/workshop/5WFQ4Sn
Aerial Hammock Workshop,Jan05Freitag,Ausgebucht,1 Einheit,Pole and Move Ludwigshafen,"Raschigstraße 100, 67067 Ludwigshafen am Rhein",https://www.eversports.de/e/workshop/M1qt2st
Aerial Hoop Splits,Jan05Freitag,"ab 30,00 €",1 Einheit,Pole and Move Ludwigshafen,"Raschigstraße 100, 67067 Ludwigshafen am Rhein",https://www.eversports.de/e/workshop/YFREpIp
Flying Pole Workshop,Jan28Sonntag,Ausgebucht,1 Einheit,Pole and Move Ludwigshafen,"Raschigstraße 100, 67067 Ludwigshafen am Rhein",https://www.eversports.de/e/workshop/YuOP2Ee
Aerial Hammock Workshop,Feb03Samstag,"ab 30,00 €",1 Einheit,Pole and Move Ludwigshafen,"Raschigstraße 100, 67067 Ludwigshafen am Rhein",https://www.eversports.de/e/workshop/aldL57L
Aerial Hoop Rolls Workshop,Feb03Samstag,"ab 30,00 €",1 Einheit,Pole and Move Ludwigshafen,"Raschigstraße 100, 67067 Ludwigshafen am Rhein",https://www.eversports.de/e/workshop/hz_ZPLE
Chairdance,Feb10bis März 09,"ab 30,00 €",2 Einheiten,Pole and Move Ludwigshafen,"Raschigstraße 100, 67067 Ludwigshafen am Rhein",https://www.eversports.de/e/workshop/M1wKpZR
Lapdance Workshop,Feb10bis März 09,"ab 30,00 €",2 Einheiten,Pole and Move Ludwigshafen,"Raschigstraße 100, 67067 Ludwigshafen am Rhein",https://www.eversports.de/e/workshop/xAIHC25
Aerial Hammock Workshop,März02Samstag,"ab 30,00 €",1 Einheit,Pole and Move Ludwigshafen,"Raschigstraße 100, 67067 Ludwigshafen am Rhein",https://www.eversports.de/e/workshop/QSBryP0
Aerial Hoop Bendy Shapes,März02Samstag,"ab 30,00 €",1 Einheit,Pole and Move Ludwigshafen,"Raschigstraße 100, 67067 Ludwigshafen am Rhein",https://www.eversports.de/e/workshop/VBYd7ZF
Ashtanga Yoga und Pranayama Online Workshop,Sep29bis Dez 29,"ab 19,50 €",14 Einheiten,Janardana Yoga,"Rue du Fahrenberg 292, 57600 Œting",https://www.eversports.de/e/workshop/JSyT_z8
Chairdance Workshop 2.0,Dez30Samstag,Ausgebucht,1 Einheit,PoleCreation,"Immenstädter Straße 11, 87435 Kempten (Allgäu)",https://www.eversports.de/e/workshop/wZihX9z
Heels Pole,Jan26Freitag,ab 0 €,1 Einheit,PoleFit Aline Sustrath,"Landgrafenstraße 6, 66969 Lemberg",https://www.eversports.de/e/workshop/cMAYTid
Floorplay,Jan26Freitag,ab 0 €,1 Einheit,PoleFit Aline Sustrath,"Landgrafenstraße 6, 66969 Lemberg",https://www.eversports.de/e/workshop/VKmdxO2
Einführung Burlesque World ,März02Samstag,"ab 70,00 €",1 Einheit,PoleFit Aline Sustrath,"Landgrafenstraße 6, 66969 Lemberg",https://www.eversports.de/e/workshop/F0nh2br
Aerial Loops Workshop,Jan13Samstag,"ab 35,00 €",1 Einheit,poda Studio,"10-12 Martinstraße Innenhof, 52062 Aachen",https://www.eversports.de/e/workshop/5Qka0Ok
Handstands on Pole Workshop,Jan20Samstag,"ab 35,00 €",1 Einheit,poda Studio,"10-12 Martinstraße Innenhof, 52062 Aachen",https://www.eversports.de/e/workshop/mmIS0hG
How to invert Workshop,Jan20Samstag,"ab 35,00 €",1 Einheit,poda Studio,"10-12 Martinstraße Innenhof, 52062 Aachen",https://www.eversports.de/e/workshop/5id4nVo
Rock Hard Style High Heels Pole Workshop,Feb04Sonntag,"ab 35,00 €",1 Einheit,poda Studio,"10-12 Martinstraße Innenhof, 52062 Aachen",https://www.eversports.de/e/workshop/LAHNDF-
Hip Hop Pole Choreo Workshop,März16Samstag,"ab 35,00 €",1 Einheit,poda Studio,"10-12 Martinstraße Innenhof, 52062 Aachen",https://www.eversports.de/e/workshop/2f93D4_
Basics in heels Workshop,Jan20Samstag,"ab 30,00 €",1 Einheit,A heart for poledance,"Nußbaumer Straße 6, 51469 Bergisch Gladbach",https://www.eversports.de/e/workshop/6IaiUtv
Drop it like it's hot heels workshop,Jan20Samstag,"ab 30,00 €",1 Einheit,A heart for poledance,"Nußbaumer Straße 6, 51469 Bergisch Gladbach",https://www.eversports.de/e/workshop/2Yl3NaK
