URL_SCL_E,Time,Duration,Name,Available Slots,Trainer,Room
https://www.eversports.de/e/class/LAAeIxf,10:30,90 Min,"""Pole Choreo"" Holiday Special (CS02)",Anfänger1 freier Platz,Melina,Unbekannt
https://www.eversports.de/e/class/wuSGhil,16:45,75 Min,Poledance TEENS (12-17 Jahre) - Beginner (0033),Anfängermehr als 5 Plätze,Bianca,Unbekannt
https://www.eversports.de/e/class/GA0iWMW,16:00,60 Min,"Zirkus Kids ""Midi"" (7-9 Jahre)",2 freie Plätze,Theresa,Unbekannt
https://www.eversports.de/e/class/VBO0Ede,16:45,60 Min,Poledance Schnupperstunde,5 freie Plätze,Greta,Unbekannt
https://www.eversports.de/e/class/lXhEkiH,12:00,75 Min,Freies Training,Alle Levelmehr als 5 Plätze,Melina,Unbekannt
https://www.eversports.de/e/class/1UNpvFc,18:00,75 Min,Poledance - Mixed Level 3-4 (0094),Intermediatemehr als 5 Plätze,Bianca,Unbekannt
https://www.eversports.de/e/class/fzB4fhp,17:00,60 Min,"Zirkus Kids ""Midi"" (7-9 Jahre)",1 freier Platz,Theresa,Unbekannt
https://www.eversports.de/e/class/T-pt4MO,19:00,75 Min,SpinningPole Intermediate (0031),Abgesagt,Unbekannt,Unbekannt
https://www.eversports.de/e/class/Q4J1OA9,19:15,75 Min,PoleDance - Mixed Level 3-4 (0003),Intermediate4 freie Plätze,Susi,Unbekannt
https://www.eversports.de/e/class/bUZsBMS,19:00,90 Min,"""Christmas Special"" PoleChoreo (SP03)",Anfängermehr als 5 Plätze,Johanna,Unbekannt
https://www.eversports.de/e/class/wuSGhil,16:45,75 Min,Poledance TEENS (12-17 Jahre) - Beginner (0033),Anfängermehr als 5 Plätze,Bianca,Unbekannt
https://www.eversports.de/e/class/1UNpvFc,18:00,75 Min,Poledance - Mixed Level 3-4 (0094),Intermediatemehr als 5 Plätze,Bianca,Unbekannt
https://www.eversports.de/e/class/GA0iWMW,16:00,60 Min,"Zirkus Kids ""Midi"" (7-9 Jahre)",2 freie Plätze,Theresa,Unbekannt
https://www.eversports.de/e/class/fzB4fhp,17:00,60 Min,"Zirkus Kids ""Midi"" (7-9 Jahre)",1 freier Platz,Theresa,Unbekannt
https://www.eversports.de/e/class/T-pt4MO,19:00,75 Min,SpinningPole Intermediate (0031),Abgesagt,Unbekannt,Unbekannt
https://www.eversports.de/e/class/VBO0Ede,16:45,60 Min,Poledance Schnupperstunde,5 freie Plätze,Greta,Unbekannt
https://www.eversports.de/e/class/Q4J1OA9,19:15,75 Min,PoleDance - Mixed Level 3-4 (0003),Intermediate4 freie Plätze,Susi,Unbekannt
https://www.eversports.de/e/class/bUZsBMS,19:00,90 Min,"""Christmas Special"" PoleChoreo (SP03)",Anfängermehr als 5 Plätze,Johanna,Unbekannt
https://www.eversports.de/e/class/LAAeIxf,10:30,90 Min,"""Pole Choreo"" Holiday Special (CS02)",Anfänger1 freier Platz,Melina,Unbekannt
https://www.eversports.de/e/class/lXhEkiH,12:00,75 Min,Freies Training,Alle Levelmehr als 5 Plätze,Melina,Unbekannt
https://www.eversports.de/e/class/SCq7SaA,17:00,60 Min,Pole Fitness (Anfänger),Anfänger3 freie Plätze,Pia,Pole Fitness (EG)
https://www.eversports.de/e/class/AVxPw9l,18:15,60 Min,Pole Fitness (Mittelstufe),Intermediate5 freie Plätze,Pia,Pole Fitness (EG)
https://www.eversports.de/e/class/M87njgU,19:30,90 Min,Aerial Yoga,Alle Level3 freie Plätze,Katja,Aerial Hoop / Aerial Yoga / Yoga (1 Stock)
https://www.eversports.de/e/class/Hsc60HX,19:30,90 Min,Pole Fitness (Fortgeschritten),Fortgeschrittenmehr als 5 Plätze,Pia,Pole Fitness (EG)
https://www.eversports.de/e/class/bLIwcqu,17:15,60 Min,Ballett Bijou,Abgesagt,Unbekannt,Unbekannt
https://www.eversports.de/e/class/D9psSrE,18:30,60 Min,Stretch & Strength (Front Split),Alle Levelmehr als 5 Plätze,Pia,Aerial Hoop / Aerial Yoga / Yoga (1 Stock)
https://www.eversports.de/e/class/qW9gSnc,18:30,60 Min,Aerial Hoop (Mittelstufe),Intermediatemehr als 5 Plätze,Pia,Aerial Hoop / Aerial Yoga / Yoga (1 Stock)
https://www.eversports.de/e/class/Spx7rtg,18:30,75 Min,Open Training (Pole),Anfängerausgebucht,Privates,Unbekannt
https://www.eversports.de/e/class/4fbVp4e,19:45,60 Min,Aerial Hoop (Anfänger),Anfänger5 freie Plätze,Julia,Aerial Hoop / Aerial Yoga / Yoga (1 Stock)
https://www.eversports.de/e/class/lK7ta7A,19:45,90 Min,Flow it out - Heels Edition (Anfänger & above),Anfängermehr als 5 Plätze,Smaranda,Pole Fitness (EG)
https://www.eversports.de/e/class/M-fGBBr,17:30,60 Min,Pole Fitness - All about Basics I (Alle Level),Anfängerausgebucht,Vanessa,Pole Fitness (EG)
https://www.eversports.de/e/class/clflJlb,18:45,60 Min,Pole Fitness (Anfänger),Anfängermehr als 5 Plätze,Vanessa,Pole Fitness (EG)
https://www.eversports.de/e/class/CGsANbr,20:00,60 Min,Pole Fitness - All about Basics II (higher Beginner to intermediate),Intermediate3 freie Plätze,Vanessa,Pole Fitness (EG)
https://www.eversports.de/e/class/OfF-VIt,18:00,60 Min,Stretch & Strength (middle Split),Alle Levelmehr als 5 Plätze,Pia,Pole Fitness (EG)
https://www.eversports.de/e/class/7xO76BG,18:00,60 Min,In der Winterpause - Hip Hop Dance Workout,Abgesagt,Unbekannt,Unbekannt
https://www.eversports.de/e/class/CqR3Ty_,18:00,60 Min,Probestunde für Einsteiger: Pole Fitness,Anfängermehr als 5 Plätze,Sarah,Pole Fitness (EG)
https://www.eversports.de/e/class/0K32R0R,19:15,60 Min,Flow it out (Anfänger & above),Anfänger4 freie Plätze,Pia,Pole Fitness (EG)
https://www.eversports.de/e/class/DbZQvx0,19:15,75 Min,Open Training: Aerial Silk,Anfänger2 freie Plätze,Pia,Aerial Silk / Open Space
https://www.eversports.de/e/class/YAXPHWn,19:15,75 Min,Open Training: Pole,Anfängerausgebucht,Privates,Unbekannt
https://www.eversports.de/e/class/gIeoLLY,19:15,75 Min,Open Training: Aerial Hoop / Aerial Sling,Anfänger3 freie Plätze,Aerial Silk / Open Space,Unbekannt
https://www.eversports.de/e/class/SCq7SaA,17:00,60 Min,Pole Fitness (Anfänger),Anfänger3 freie Plätze,Pia,Pole Fitness (EG)
