Klassenname,Beschreibung,Studio Name,Standort,Kategorie,Datum,URL_E,Zeit
"""Pole Choreo"" Holiday Special (CS02)",Du hast erste Erfahrungen an der Pole gemacht? Einzelne Moves und kleine Kombis hast Du schon gelernt? Du möchtest nun das Gelernte kombinieren und zu einer Choreographie tanzen? Dann bist Du hier richtig. Wir lernen Moves und Spins zu kombinieren und ergänzen mit Floorwork zu einer Choreographie. Wir verbessern den Poleflow (flüssige Bewegungen) und perfektionieren das bisher Gelernte. Voraussetzung: abgeschlossenes Poledance Level 1,UpsideDown Studio Friedrichsdorf,Einzelticket,Poledance,"Samstag, 23. Dezember 2023",https://www.eversports.de/e/class/LAAeIxf,10:30 - 12:00
Poledance TEENS (12-17 Jahre) - Beginner (0033),"Du hast schon viel von Poledance gehört und möchtest auch endlich damit beginnen bist aber noch nicht Volljährig? Dann ist dieser Einsteigerkurs genau das Richtige. Hier findest Du Gleichgesinnte Teens und übst viele verschiedene Basicübungen an der Stange. Tänzerisch und mit viel Spaß baust Du Kraft und Beweglichkeit für die ersten Spins, Tricks und Kombinationen auf. Du lernst, die einzelnen Moves fließend aneinanderzufügen und die ersten Tricks an der Pole sind auch schon dabei. Voraussetzungen: keine",UpsideDown Studio Friedrichsdorf,Einzelticket,Poledance,"Montag, 18. Dezember 2023",https://www.eversports.de/e/class/wuSGhil,16:45 - 18:00
"Zirkus Kids ""Midi"" (7-9 Jahre)","In diesem Luftakrobatik-Kurs für Kinder ab 7 Jahren unterrichten wir tänzerische und akrobatische Elemente im Luftring (Aerial Hoop), im Tuch (Aerial Hammock und Silks) und an der Stange (Pole Dance). Das Training wird durch Turnen am Boden, unterstützendes Krafttraining und Dehnübungen und ergänzt. Alle Bewegungen werden altersgerecht vermittelt. Tricks an den Geräten, Technik-Training, Bewegungsspiele und Partnerübungen wechseln sich ab – der Spaß der Kinder an der Bewegung und dem Turnen steht dabei im Vordergrund. Sicherheit und ein gesundheitsförderndes Training für Kinder sind uns sehr wichtig!",UpsideDown Studio Friedrichsdorf,16:00 - 17:00,Kindersport,"Dienstag, 19. Dezember 2023",https://www.eversports.de/e/class/GA0iWMW,16:00 - 17:00
Poledance Schnupperstunde,"Hier könnt ihr in unsere Poledancekurse unverbindlich hineinschnuppern! Entdecke Poledance für Dich und mach deine ersten Spins, Tricks oder Tanzbewegungen an der Stange. In dieser Einheit bekommst du einen kleinen Eindruck von den Kursen und wir hoffen, Dich da schon mit dem PoleFieber anstecken zu können. Poledance ist für jede Frau (gerne auch Mann :-)) geeignet, egal mit welchem Körperbau oder Fitnesslevel. Anfänger sind erwünscht! Man wird stärker und flexibler, lernt zu tanzen und vor allem macht es ganz viel Spaß! Achtung: Poledance macht süchtig!",UpsideDown Studio Friedrichsdorf,Einzelticket,Poledance,"Mittwoch, 20. Dezember 2023",https://www.eversports.de/e/class/VBO0Ede,16:45 - 17:45
Freies Training,"Freies Training für Poledance und Aerial. Hier könnt ihr selbstständig das bereits Gelernte im Studio üben und festigen. Es ist zwar ein Trainer anwesend, aber nur zur Beaufsichtigung. Bitte im Vorhinein Bescheid geben falls Hoop erwünscht ist, damit wir alles rechtzeitig aufbauen können.",UpsideDown Studio Friedrichsdorf,Einzelticket,Poledance,"Samstag, 23. Dezember 2023",https://www.eversports.de/e/class/lXhEkiH,12:00 - 13:15
Poledance - Mixed Level 3-4 (0094),"Jetzt hast Du schon Level 4 hinter Dir! Um die gelernten Bewegungen zu üben und zu festigen, setzen wir in diesem Kurs den Fokus auf Trick-Kombinationen und schönen Übergängen. Ideal ist der Kurs auch, wenn Du vor Level 5 noch einmal alles wiederholst und zu kombinieren lernst. Voraussetzung: abgeschlossenes Level 4 oder Leghangs, Aerial Invert, Superman",UpsideDown Studio Friedrichsdorf,Einzelticket,Poledance,"Montag, 18. Dezember 2023",https://www.eversports.de/e/class/1UNpvFc,18:00 - 19:15
"Zirkus Kids ""Midi"" (7-9 Jahre)","In diesem Luftakrobatik-Kurs für Kinder ab 7 Jahren unterrichten wir tänzerische und akrobatische Elemente im Luftring (Aerial Hoop), im Tuch (Aerial Hammock und Silks) und an der Stange (Pole Dance). Das Training wird durch Turnen am Boden, unterstützendes Krafttraining und Dehnübungen und ergänzt. Alle Bewegungen werden altersgerecht vermittelt. Tricks an den Geräten, Technik-Training, Bewegungsspiele und Partnerübungen wechseln sich ab – der Spaß der Kinder an der Bewegung und dem Turnen steht dabei im Vordergrund. Sicherheit und ein gesundheitsförderndes Training für Kinder sind uns sehr wichtig!",UpsideDown Studio Friedrichsdorf,17:00 - 18:00,Kindersport,"Dienstag, 19. Dezember 2023",https://www.eversports.de/e/class/fzB4fhp,17:00 - 18:00
SpinningPole Intermediate (0031),Du hast bereits erste Erfahrungen an der Pole gesammelt und möchtest jetzt endlich mal an die selbstdrehende Stange? Dann bist Du hier genau Richtig! In diesem Kurs lernst du neue Bewegungen und Kombinationen an der SpinningPole. (Voraussetzung: abgeschlossenes Level 3),UpsideDown Studio Friedrichsdorf,Einzelticket,Poledance,"Dienstag, 19. Dezember 2023",https://www.eversports.de/e/class/T-pt4MO,19:00 - 20:15
PoleDance - Mixed Level 3-4 (0003),"In diesen Einheiten lernen wir neue Figuren, Tricks und Spins oder Variationen daraus. Diese kombinieren wir und üben, Kombinationen flüssig zu tanzen. Wir bauen gemeinsam Kraft auf, um anspruchsvollere Figuren an der Pole ausführen zu können. Voraussetzung: Klettern und Invert Bitte bringe kurze Hosen und ein kleines Handtuch mit. Wir freuen uns, wenn Du dabei bist! !Gerne kannst Du auch online teilnehmen. Schreibe uns einfach eine Mail.",UpsideDown Studio Friedrichsdorf,Einzelticket,Poledance,"Mittwoch, 20. Dezember 2023",https://www.eversports.de/e/class/Q4J1OA9,19:15 - 20:30
"""Christmas Special"" PoleChoreo (SP03)","...jetzt stimmen wir uns auf Weihnachten ein mit einer Poledance Weihnachts-Choreografie. Wir werden uns um die Stange drehen, Tricks kombinieren und FloorWork machen alles in dem Motto ""Christmas"". Du wirst deinen Poleflow (flüssige Bewegungen) verbessern und die Tricks, die du bis jetzt gelernt hast, perfektionieren. Voraussetzung: abgeschlossenes Poledance Level 2",UpsideDown Studio Friedrichsdorf,Einzelticket,Poledance,"Donnerstag, 21. Dezember 2023",https://www.eversports.de/e/class/bUZsBMS,19:00 - 20:30
