Klassenname,Beschreibung,Studio Name,Standort,Kategorie,Datum,URL_E,Zeit
,"Yoga auf dem Boden war gestern. Wir praktizieren Yoga schwebend zwischen Himmel und Erde. Die Übungen im Tuch haben eine harmonisierende Wirkung auf Körper, Geist und Seele und sind ein effektiver Stresslöser. In unseren Kursen steht die Entspannung im Vordergrund, zeitgleich trainieren wir aber auch unsere Flexibilität, fördern den Kraftaufbau und lösen wir unserer Faszien, was zum allgemeinen Wohlbefinden beiträgt und die Beweglichkeit fördert. Diese Art von Yoga entlastet die Wirbelsäule und eignet sich besonders gut bei Schmerzen in den Gelenken und im unteren Rücken. Komm vorbei und schwebe mit uns! Wir freuen uns auf Dich!",UpsideDown Studio Friedrichsdorf,"Schnupperstunde ""Aerial"" ",Yoga,"Samstag, 27. Januar 2024",https://www.eversports.de/e/class/KWSg4IB,10:00 - 11:15
,"Wow, jetzt besuchst du schon die Advanced Klasse! In dieser Klasse lernst Du fortgeschrittene Tricks und Kombinationen daraus. Wir werden nach einem knackigen Warmup zusammen neue Tricks miteinander erarbeiten und mit alten Tricks verbinden, um sie zu festigen. Außerdem lernst Du neue Spin- und Floorworkombinationen, die du so nicht nicht gemacht hast. Voraussetzung: abgeschlossenes Poledance Level 6 oder Du solltest Aerial Invert, Shouldermount, ReverseClimb, sowie einarmiger Spins gut beherrschen",UpsideDown Studio Friedrichsdorf,Einzelticket,Poledance,"Samstag, 27. Januar 2024",https://www.eversports.de/e/class/-kkQvCl,11:30 - 12:45
,"Es ist einfach viel zu kalt für Deine PoleShorts, aber Du möchtest trotzdem Tanzen? Oder Hast Du einfach mal kein Lust auf komplizierte Kombis oder Kletteraction? Dann schnapp Dir deine Lieblingejogginghose, dicke Socken und einen gemütlichen Pulli und komm in den Low Flow Kurs. Wir lernen gemeinsam in jeder Eihneit eine kleine Choreo mit vielen Bodenelementen und Drehungen um die Pole ohne Schnickschnack aber mit viel Spaß! Vorkenntnisse brauchst du keine, mach einfach mit und finde Deinen Flow! (Voraussetzungen: keine)",UpsideDown Studio Friedrichsdorf,Einzelticket,Poledance,"Sonntag, 28. Januar 2024",https://www.eversports.de/e/class/0FbwfdJ,10:00 - 11:15
,"Du hast schon viel von Poledance gehört und möchtest auch endlich damit beginnen bist aber noch nicht Volljährig? Dann ist dieser Einsteigerkurs genau das Richtige. Hier findest Du Gleichgesinnte Teens und übst viele verschiedene Basicübungen an der Stange. Tänzerisch und mit viel Spaß baust Du Kraft und Beweglichkeit für die ersten Spins, Tricks und Kombinationen auf. Du lernst, die einzelnen Moves fließend aneinanderzufügen und die ersten Tricks an der Pole sind auch schon dabei. Voraussetzungen: keine",UpsideDown Studio Friedrichsdorf,"Schnupperstunde ""Poledance"" ",Poledance,"Montag, 22. Januar 2024",https://www.eversports.de/e/class/CGaHd1S,16:45 - 18:00
,"In diesem Luftakrobatik-Kurs für Kinder ab 7 Jahren unterrichten wir tänzerische und akrobatische Elemente im Luftring (Aerial Hoop), im Tuch (Aerial Hammock und Silks) und an der Stange (Pole Dance). Das Training wird durch Turnen am Boden, unterstützendes Krafttraining und Dehnübungen und ergänzt. Alle Bewegungen werden altersgerecht vermittelt. Tricks an den Geräten, Technik-Training, Bewegungsspiele und Partnerübungen wechseln sich ab – der Spaß der Kinder an der Bewegung und dem Turnen steht dabei im Vordergrund. Sicherheit und ein gesundheitsförderndes Training für Kinder sind uns sehr wichtig!",UpsideDown Studio Friedrichsdorf,Schnupperstunde KidsKurs,Kindersport,"Dienstag, 23. Januar 2024",https://www.eversports.de/e/class/w_1M42_,16:00 - 17:00
,"Du möchtest Dich fühlen, wie ein Zirkusartist und durch Luft schweben? Du möchtest Dich grazil bewegen und dabei Kraft und Beweglichkeit aufbauen und Dein Körpergefühl verbessern? Dann bist Du hier richtig! In diesem Kurs lernst Du alle Beginner-Moves neu zu kombinieren. Ergänzt wird das bereits Erlernte durch immer wieder neue Elemente. Im Fokus stehen hier das Üben von sauberen Übergängen und das Perfektionieren des bereits Erlernten. Voraussetzung: keine",UpsideDown Studio Friedrichsdorf,"Schnupperstunde ""Aerial"" ",Aerial Hoop,"Sonntag, 28. Januar 2024",https://www.eversports.de/e/class/AcluLrU,12:45 - 14:00
,"Wow, jetzt besuchst du schon die Intermediate Klasse! In dieser Klasse lernst Du neue Tricks und Kombinationen daraus. Wir werden nach einem knackigen Warmup zusammen neue Tricks miteinander erarbeiten und mit alten Tricks verbinden, um sie zu festigen. Außerdem lernst Du auch neue Spin- und Floorworkombinationen, die du so nicht nicht gemacht hast. Voraussetzung: abgeschlossenes Poledance Level 3 oder Du solltest sauber Inverten können, sowie den Inside- und OutsideLeghang gut beherrschen.",UpsideDown Studio Friedrichsdorf,Einzelticket,Poledance,"Montag, 22. Januar 2024",https://www.eversports.de/e/class/szA1C5o,18:00 - 19:15
,"In diesem Luftakrobatik-Kurs für Kinder ab 7 Jahren unterrichten wir tänzerische und akrobatische Elemente im Luftring (Aerial Hoop), im Tuch (Aerial Hammock und Silks) und an der Stange (Pole Dance). Das Training wird durch Turnen am Boden, unterstützendes Krafttraining und Dehnübungen und ergänzt. Alle Bewegungen werden altersgerecht vermittelt. Tricks an den Geräten, Technik-Training, Bewegungsspiele und Partnerübungen wechseln sich ab – der Spaß der Kinder an der Bewegung und dem Turnen steht dabei im Vordergrund. Sicherheit und ein gesundheitsförderndes Training für Kinder sind uns sehr wichtig!",UpsideDown Studio Friedrichsdorf,Schnupperstunde KidsKurs,Kindersport,"Dienstag, 23. Januar 2024",https://www.eversports.de/e/class/_Q_zf6p,17:00 - 18:00
,"Du hast bereits erste Erfahrungen an der Pole gesammelt und möchtest jetzt endlich mal an die selbstdrehende Stange? Dann bist Du hier genau Richtig! In diesem Kurs lernst du neue Bewegungen und Kombinationen an der SpinningPole. (Voraussetzung: abgeschlossenes Level 1, klettern, PoleSit)",UpsideDown Studio Friedrichsdorf,Einzelticket,Poledance,"Dienstag, 23. Januar 2024",https://www.eversports.de/e/class/bN5CN0A,19:00 - 20:15
,"Wow, jetzt besuchst du schon die Intermediate Klasse! In dieser Klasse lernst Du neue Tricks und Kombinationen daraus. Wir werden nach einem knackigen Warmup zusammen neue Tricks miteinander erarbeiten und mit alten Tricks verbinden, um sie zu festigen. Außerdem lernst Du auch neue Spin- und Floorworkombinationen, die du so nicht nicht gemacht hast. Voraussetzung: abgeschlossenes Poledance Level 3 oder Du solltest sauber Inverten können, sowie den Inside- und OutsideLeghang gut beherrschen.",UpsideDown Studio Friedrichsdorf,Einzelticket,Poledance,"Mittwoch, 24. Januar 2024",https://www.eversports.de/e/class/7-BmkRb,19:15 - 20:30
