PoleStudio_Name,Adresse,PLZ,Stadt,Straße,Buttons,Pole Studio Beschreibung,Ratingscore,Reviewanzahl,Rating Faktoren,E-Mail,Homepage,Telefon,URL_S,Art,Angebot,Bildergalerie,Created Date,Updated Date
,"['Britanniahütte 10 ', ' 51469 Bergisch Gladbach']",51469,Bergisch,Britanniahütte 10 ,"['Übersicht', 'Klassen', 'Preise', 'Team']","PREISE für alle KINDER und ERWACHSENEN - KURSE:KINDER:Für alle Kinderkurse:kommt einfach vorbei und genießt zum Kennenlernen eine Gratis Probe-Stunde.Wenn es Euch gefällt: dann füllen wir alles gemeinsam im Studio aus oder Ihr könnt Eure Kinder online über Eversports (Membership) anmelden. Bei der Anmeldung fällt eine einmalige Anmeldegebühr von 28,00€ an.- Eure Kinder können Tanzstunden einmal oder zweimal pro Woche zu folgenden Preisen wahrnehmen:45 Minuten 1x pro Woche kosten 39€ pro Monat45 Minuten 2x pro Woche kosten 55€ pro Monat60 Minuten 1x pro Woche nur 43€ pro Monat 60 Minuten 2x pro Woche 59€ pro Monat einmalige Anmeldegebühr über 28€ bei einer Vertragslaufzeit von mindestens 6 Monaten. Nach Ablauf der 6 Monate verlängert sich der Vertrag jeweils automatisch um 3 Monate sofern er nicht 4 Wochen vorm Ablauf schriftlich gekündigt wird und bestätigt.hier könnt Ihr die verschiedenen Mitgliedschaften buchen: Membership Bei Fragen meldet Euch einfach :-) und freuen uns auf Euch!ERWACHSENE: Alle Erwachsenen-Kurse buchbar über Eversports (das Anmelden über dieses Buchensystem ist kostenlos!) eine Probe-Stunde ist kostenlos (einmalig buchbar eine dreier Schnupperkarte 25€ (einmalig buchbar)eine 10ner Karte 119€ Memberships 1x und 2x pro Woche einmalige Anmeldegebühr über 28€ ",5,9 Rezensionen,"['Raumqualität: 5.0', 'Freundlichkeit & Service: 5.0', 'Sauberkeit: 5.0', 'Atmosphäre: 5.0', 'Preis-Leistung: 4.9']", one8dance@gmail.com,https://one8dance.de/,+49 01782996698,https://www.eversports.de/s/one8dance-studio,"['Tanzen', 'Hip Hop', 'Tanzen', 'Tanzen', 'Zumba', 'Tanzen', 'Hip Hop', '9 Rezensionen', 'Tanzen', 'Zumba', 'Hip Hop', 'Poledance', 'Breakdance', 'Aerial Hoop', 'Aerial Akrobatik', 'Kindertanz', 'Streetdance', 'Heels', 'Reggaeton']",Zum Stundenplan,"['https://files.eversports.com/9396078a-dd70-465c-b57b-1bc7e3c2c4da/img_4926png-x-large.webp', 'https://files.eversports.com/57eb7b67-e584-49f4-8284-d50452240e35/img_4927png-small.webp', 'https://files.eversports.com/6ed4428d-1832-4899-9d62-f98cf8ca2b65/img_4928png-small.webp', 'https://files.eversports.com/9d0e2ec5-fa95-482f-8dfd-e5cecff31e27/img_4930png-small.webp', 'https://files.eversports.com/89a1954c-7d6f-46e2-a0bc-27b1d124b944/img_4931png-small.webp']",2024-01-24 17:26:27,2024-01-24 17:26:27
,,,,,"['Übersicht', 'Klassen', 'Preise', 'Team']",LindaTanzenHip Hop+ 6Zum StundenplanRaffiniooTanzenZum StundenplanVanessaTanzenZumba+ 9Zum StundenplanDilaraTanzenHip Hop+ 9Zum StundenplanDunjaZum Stundenplan,,,[], one8dance@gmail.com,https://one8dance.de/,+49 01782996698,https://www.eversports.de/s/one8dance-studio/team,"['Tanzen', 'Hip Hop', 'Tanzen', 'Tanzen', 'Zumba', 'Tanzen', 'Hip Hop']",Zum Stundenplan,"['https://files.eversports.com/9396078a-dd70-465c-b57b-1bc7e3c2c4da/img_4926png-x-large.webp', 'https://files.eversports.com/57eb7b67-e584-49f4-8284-d50452240e35/img_4927png-small.webp', 'https://files.eversports.com/6ed4428d-1832-4899-9d62-f98cf8ca2b65/img_4928png-small.webp', 'https://files.eversports.com/9d0e2ec5-fa95-482f-8dfd-e5cecff31e27/img_4930png-small.webp', 'https://files.eversports.com/89a1954c-7d6f-46e2-a0bc-27b1d124b944/img_4931png-small.webp']",2024-01-24 17:27:22,2024-01-24 17:27:22
,"['Pfarrer-Weiß-Weg 16', ' 89077 Ulm']",89077,Ulm,Pfarrer-Weiß-Weg 16,"['Übersicht', 'Klassen', 'Preise', 'Team']",Dein Studio für Poledance und Flexibility.,5,2 Rezensionen,"['Raumqualität: 5.0', 'Freundlichkeit & Service: 5.0', 'Sauberkeit: 5.0', 'Atmosphäre: 5.0', 'Preis-Leistung: 5.0']", info@flowacademy-ulm.de,,+49 15165181566,https://www.eversports.de/s/flow-academy,"['Poledance', '2 Rezensionen', 'Poledance']",1 Angebot für Neukund:innen,"['https://files.eversports.com/f78b646b-9eda-41ba-a4a1-7d95d66d757c/schooting-pole-015jpeg-x-large.webp', 'https://files.eversports.com/59378a4f-fd29-4ce2-82e1-ec88370af1d2/schooting-pole-005jpeg-small.webp', 'https://files.eversports.com/81938386-ff4d-4879-acee-2de2f6b4af37/schooting-pole-006jpeg-small.webp']",2024-01-24 17:27:31,2024-01-24 17:27:31
,,,,,"['Übersicht', 'Klassen', 'Preise', 'Team']",MichelleZum StundenplanSabrinaPoledanceZum Stundenplan,,,[], info@flowacademy-ulm.de,,+49 15165181566,https://www.eversports.de/s/flow-academy/team,['Poledance'],Zum Stundenplan,"['https://files.eversports.com/f78b646b-9eda-41ba-a4a1-7d95d66d757c/schooting-pole-015jpeg-x-large.webp', 'https://files.eversports.com/59378a4f-fd29-4ce2-82e1-ec88370af1d2/schooting-pole-005jpeg-small.webp', 'https://files.eversports.com/81938386-ff4d-4879-acee-2de2f6b4af37/schooting-pole-006jpeg-small.webp']",2024-01-24 17:27:46,2024-01-24 17:27:46
,"['Gutenbergstraße 36 ', ' 68775 Ketsch']",68775,Ketsch,Gutenbergstraße 36 ,"['Übersicht', 'Klassen', 'Workshops', 'Preise', 'Team']","Willkommen bei Pole and Move. Unser Motto 2022: Egal was passiert am Ende werden wir Tanzen. Unsere Studios befinden sich in Mannheim, Heidelberg und Ketsch und natürlich auch Online. Wir sind ein junges, dynamisches und motiviertes Unternehmen in der Sport- und Fitnessbranche, welches sich hauptsächlich auf den Polesport & Arial Arts konzentriert.Wir freuen uns auf alle Tanz- und Sportbegeisterte, die uns einmal besuchen möchten.",5,25 Rezensionen,"['Raumqualität: 4.9', 'Freundlichkeit & Service: 5.0', 'Sauberkeit: 5.0', 'Atmosphäre: 5.0', 'Preis-Leistung: 4.9']", team@poleandmove.de,https://poleandmove.de/,+49176 61653663,https://www.eversports.de/s/pole-and-move-ketsch,"['Power Pole', 'Poledance', 'Power Pole', 'Poledance', 'Power Pole', 'Poledance', 'Power Pole', 'Poledance', 'Poledance', 'Power Pole', '25 Rezensionen', 'Fitness', 'Poledance', 'Power Pole', 'Stretching', 'Handstand', 'Polesport', 'Jumping Fitness', 'Burlesque', 'Twerken', 'Exotic']",3 Angebote für Neukund:innen,"['https://files.eversports.com/9af66252-d4f0-4b40-9d13-18a82ee5660b/miriams-web-3096jpg-x-large.webp', 'https://files.eversports.com/28309c2c-daae-4add-a3ba-7ec5f69de2e8/img_8666jpg-small.webp', 'https://files.eversports.com/0b2a957e-49ec-49d5-8994-ea0e58d4fa8b/larab-web-2389jpg-small.webp']",2024-01-24 17:27:59,2024-01-24 17:27:59
,,,,,"['Übersicht', 'Klassen', 'Workshops', 'Preise', 'Team']",RomyPower PolePoledance+ 3Zum StundenplanBerfinPower PolePoledance+ 8Zum StundenplanYesim CatherinePower PolePoledance+ 3Zum StundenplanAmeliePower PolePoledance+ 8Zum StundenplanDuyguPoledancePower Pole+ 8Zum StundenplanJasminFitnessPoledance+ 1Zum StundenplanJennyPoledanceHandstand+ 8Zum StundenplanNina C.Power PolePoledance+ 3Zum StundenplanNicolaPoledancePower Pole+ 3Zum StundenplanAngelique M.FitnessPoledance+ 13Zum StundenplanJana ry.Power PolePoledance+ 8Zum StundenplanJana W.FitnessStretching+ 2Zum StundenplanLisa P.FitnessPower Pole+ 8Zum StundenplanAliciaFitnessPoledance+ 4Zum StundenplanAlixFitnessTanzen+ 4Zum StundenplanAlyshaFitnessPoledance+ 13Zum StundenplanAnabelZum StundenplanAndreaRaumvermietungPoledance+ 13Zum StundenplanAngelina K.Flexibles TrainingZum StundenplanAngelina v.Z.Aerial YogaPoledance+ 14Zum StundenplanAnnePoledancePower Pole+ 3Zum StundenplanArletaZum StundenplanArletaPower PolePoledance+ 3Zum StundenplanCarolinePoledancePower Pole+ 3Zum StundenplanCelineFitnessRaumvermietung+ 13Zum StundenplanChantalPower PolePoledance+ 8Zum StundenplanClassZum Stundenplan,,,[], team@poleandmove.de,https://poleandmove.de/,+49176 61653663,https://www.eversports.de/s/pole-and-move-ketsch/team,"['Power Pole', 'Poledance', 'Power Pole', 'Poledance', 'Power Pole', 'Poledance', 'Power Pole', 'Poledance', 'Poledance', 'Power Pole', 'Fitness', 'Poledance', 'Poledance', 'Handstand', 'Power Pole', 'Poledance', 'Poledance', 'Power Pole', 'Fitness', 'Poledance', 'Power Pole', 'Poledance', 'Fitness', 'Stretching', 'Fitness', 'Power Pole', 'Fitness', 'Poledance', 'Fitness', 'Tanzen', 'Fitness', 'Poledance', 'Raumvermietung', 'Poledance', 'Flexibles Training', 'Aerial Yoga', 'Poledance', 'Poledance', 'Power Pole', 'Power Pole', 'Poledance', 'Poledance', 'Power Pole', 'Fitness', 'Raumvermietung', 'Power Pole', 'Poledance']",Zum Stundenplan,"['https://files.eversports.com/9af66252-d4f0-4b40-9d13-18a82ee5660b/miriams-web-3096jpg-x-large.webp', 'https://files.eversports.com/28309c2c-daae-4add-a3ba-7ec5f69de2e8/img_8666jpg-small.webp', 'https://files.eversports.com/0b2a957e-49ec-49d5-8994-ea0e58d4fa8b/larab-web-2389jpg-small.webp']",2024-01-24 17:29:30,2024-01-24 17:29:30
,"['Tempelhofer Ufer 36', ' 10963 Berlin']",10963,Berlin,Tempelhofer Ufer 36,['Übersicht'],"✓ Über 30 Sportarten & mehr als 60 Kurse pro Woche ✓ Trainingsschule seit 1996 im Herzen von Berlin Kreuzberg ✓ Professionelles Training in familiärer Atmosphäre
Die familiäre Atmosphäre auf 640 m² macht Lust auf Urlaub und lässt den Alltag schon beim Umziehen vergessen. Unsere Schule besteht aus vier Trainingsräumen und einem Kraftbereich. Die Holzschwingböden sorgen für ein gelenkschonendes Training. Ballettstangen, Matten und der Gerätebereich bieten beste Vorraussetzungen für jede Sportart.
Entdecke jetzt die Vielfalt der Trainingsschule X-Step – dein Wohlfühl-Ort für Bewegung im Herzen von Berlin Kreuzberg direkt am Gleisdreieck Park!","4,8",30 Rezensionen,"['Raumqualität: 4.7', 'Freundlichkeit & Service: 4.9', 'Sauberkeit: 4.9', 'Atmosphäre: 4.9', 'Preis-Leistung: 4.6']", mail@x-step.de,,+49 030 2616925,https://www.eversports.de/s/X-Step-Berlin,"['30 Rezensionen', 'Boxen', 'Fitness', 'Kampfsport', 'Tanzen', 'Pilates', 'Yoga', 'Zumba', 'Capoeira', 'Hip Hop', 'Poledance', 'Taekwondo', 'Ballett', 'Eskrima', 'Selbstverteidigung', 'Zirkeltraining', 'Rückenfit', 'Akrobatik', 'Afrikanischer Tanz', 'Raumvermietung', 'Orientalischer Tanz / Bauchtanz', 'Stretching', 'Handstand', 'CANTIENICA®-Methode', 'Kindersport', 'Kindertanz', 'Streetdance', 'Tribal Fusion', 'Reggaeton', 'Kindertraining', 'Jugendtraining', 'Box & Kick', 'Dehnung/Flexibilität', 'Moderner Jazz-Tanz', 'Twerken', 'Dancehall', 'House Dance', 'Jazztanz', 'Contemporary Dance', 'Rückenschule', 'Stärkung/Flexibilität']",4 Angebote für Neukund:innen,"['https://files.eversports.com/8ce8515b-1c1a-4776-befa-9f0fc8ff4393/dance-startjpg-x-large.webp', 'https://files.eversports.com/096c4499-972c-415a-8130-5b64edd3e824/fightjpg-small.webp', 'https://files.eversports.com/fe660416-bcb8-48af-b831-94ebfde0bd7d/taekwondo-kinder-berlinjpg-small.webp', 'https://files.eversports.com/09bfba41-3818-43f6-b859-f8c557a04a45/lea-pole-dancejpg-small.webp']",2024-01-24 17:29:34,2024-01-24 17:29:34
,"['Gottesweg 56 - 62 ', ' 50969 Köln']",50969,Köln,Gottesweg 56 - 62 ,['Übersicht'],"Diese Sportanlage bietet eine Vielzahl an Sportarten an. Sieh dir das breite Angebot der Anlage an, wie z.B. Sportplätze, Klassen, Trainings, Workshops, Camps, etc. Finde weitere Informationen wie Bewertungen, Standort, Preise, Lehrer:innen und Trainer:innen, sowie FAQs weiter unten.",,,"['Raumqualität: 0.0', 'Freundlichkeit & Service: 0.0', 'Sauberkeit: 0.0', 'Atmosphäre: 0.0', 'Preis-Leistung: 0.0']",,http://www.sweatndance.com,0221 94194491,https://www.eversports.de/s/sweatndance,"['(Noch keine Bewertungen)', 'Fitness']",,['https://files.eversports.com/c7c44138-5848-485d-ae08-a242d940bb84/bildschirmfoto-2018-10-03-um-102513png-x-large.webp'],2024-01-24 17:29:39,2024-01-24 17:29:39
,"['Mississippidreef 2 ', ' 3565 CG Utrecht']",3565,CG,Mississippidreef 2 ,"['Übersicht', 'Klassen', 'Videos', 'Preise', 'Team']","Diese Sportanlage bietet eine Vielzahl an Sportarten an. Sieh dir das breite Angebot der Anlage an, wie z.B. Sportplätze, Klassen, Trainings, Workshops, Camps, etc. Finde weitere Informationen wie Bewertungen, Standort, Preise, Lehrer:innen und Trainer:innen, sowie FAQs weiter unten.","4,8",17 Rezensionen,"['Raumqualität: 4.7', 'Freundlichkeit & Service: 4.9', 'Sauberkeit: 4.8', 'Atmosphäre: 4.9', 'Preis-Leistung: 4.9']", info@aerial-studio.nl,https://www.aerial-studio.nl,+31 648539599,https://www.eversports.de/s/aerial-studio,"['Poledance', 'Aerial Yoga', 'Aerial Yoga', 'Poledance', 'Aerial Dance', 'Aerial Silk', 'Poledance', '17 Rezensionen', 'Poledance', 'Aerial Yoga', 'Aerial Silk', 'Aerial Hoop', 'Polesport', 'Sport für Schwangere', 'Burlesque', 'Workout', 'Dehnung/Flexibilität', 'Exotic', 'Contemporary Dance', 'Pole Contempo']",1 Angebot für Neukund:innen,"['https://files.eversports.com/eca53eeb-765a-4f65-8dc6-e3b2bb55cfb5/_mg_0433jpg-x-large.webp', 'https://files.eversports.com/48e0d790-a0db-4ea4-959e-f7a8eb12a9bd/1-mediumjpg-small.webp', 'https://files.eversports.com/aae814c4-f10d-4cca-b026-898828c5759f/8jpg-small.webp', 'https://files.eversports.com/207a57bb-3ac0-4212-a630-e59ea02b390d/burleske-354jpg-small.webp', 'https://files.eversports.com/63fc8851-027d-4ce5-87d7-651f64bd21aa/2015-08-fitadv-samantha2-2-a5jpg-small.webp']",2024-01-24 17:29:53,2024-01-24 17:29:53
,,,,,"['Übersicht', 'Klassen', 'Videos', 'Preise', 'Team']",samanthaZum StundenplanShelleyPoledanceAerial Yoga+ 6Zum StundenplanTetianaAerial YogaPoledance+ 6Zum StundenplansamAerial DanceAerial Silk+ 1Zum StundenplanSylviaPoledanceZum StundenplanFloorPoledanceZum StundenplanIrinaPoledanceZum StundenplanManonPoledanceZum StundenplanTessaAerial YogaPoledance+ 6Zum StundenplanLeahPolesportExotic+ 1Zum StundenplanIlonaPoledanceDehnung/Flexibilität+ 1Zum StundenplanAngeliquePoledanceZum StundenplanAngeliqueZum StundenplanAnnaZum StundenplanAnneZum StundenplanAriPoledanceAerial Yoga+ 3Zum StundenplanbettinaPoledanceZum StundenplanBiancaPoledanceZum StundenplanBritneyAerial SilkZum StundenplanCelinePoledanceZum StundenplanCilePoledanceZum StundenplanEden PoledanceAerial Yoga+ 3Zum StundenplanEllenPoledanceZum StundenplanFennaPoledanceZum StundenplanirisPoledanceAerial Silk+ 2Zum StundenplanJoesPoledanceAerial Yoga+ 3Zum StundenplanjolandaPoledanceAerial Yoga+ 2Zum Stundenplan,,,[], info@aerial-studio.nl,https://www.aerial-studio.nl,+31 648539599,https://www.eversports.de/s/aerial-studio/team,"['Poledance', 'Aerial Yoga', 'Aerial Yoga', 'Poledance', 'Aerial Dance', 'Aerial Silk', 'Poledance', 'Poledance', 'Poledance', 'Poledance', 'Aerial Yoga', 'Poledance', 'Polesport', 'Exotic', 'Poledance', 'Dehnung/Flexibilität', 'Poledance', 'Poledance', 'Aerial Yoga', 'Poledance', 'Poledance', 'Aerial Silk', 'Poledance', 'Poledance', 'Poledance', 'Aerial Yoga', 'Poledance', 'Poledance', 'Poledance', 'Aerial Silk', 'Poledance', 'Aerial Yoga', 'Poledance', 'Aerial Yoga']",Zum Stundenplan,"['https://files.eversports.com/eca53eeb-765a-4f65-8dc6-e3b2bb55cfb5/_mg_0433jpg-x-large.webp', 'https://files.eversports.com/48e0d790-a0db-4ea4-959e-f7a8eb12a9bd/1-mediumjpg-small.webp', 'https://files.eversports.com/aae814c4-f10d-4cca-b026-898828c5759f/8jpg-small.webp', 'https://files.eversports.com/207a57bb-3ac0-4212-a630-e59ea02b390d/burleske-354jpg-small.webp', 'https://files.eversports.com/63fc8851-027d-4ce5-87d7-651f64bd21aa/2015-08-fitadv-samantha2-2-a5jpg-small.webp']",2024-01-24 17:29:53,2024-01-24 17:29:53
