PoleStudio_Name,Adresse,PLZ,Stadt,Straße,Buttons,Pole Studio Beschreibung,Ratingscore,Reviewanzahl,Rating Faktoren,E-Mail,Homepage,Telefon,URL_S,Art,Angebot,Bildergalerie,Created Date,Updated Date
,"['Am Houiller Platz 4D ', ' 61381 Friedrichsdorf']",61381,Friedrichsdorf,Am Houiller Platz 4D ,"['Übersicht', 'Klassen', 'Kurse', 'Preise', 'Team']","Das Studio UpsideDown ist in Friedrichsdorf zu finden. Interessierte können Aerial Hoop (Luftkünste), Poledance, Stretch und Relax trainieren. Für Freiluftenthusiasten ist ein Outdoor-Training, eine Kombination aus Kraft und Ausdauer, möglich. Aerial Hoop wird in luftiger Höhe praktiziert und kommt einem Flug durch die Lüfte sehr nahe. Im Studio UpsideDown können Neueinsteiger ihre Fitness auf akrobatische Weise auf die Probe stellen.","4,9",4 Rezensionen,"['Raumqualität: 4.8', 'Freundlichkeit & Service: 5.0', 'Sauberkeit: 5.0', 'Atmosphäre: 5.0', 'Preis-Leistung: 4.5']", info@upsidedown-studio.de,https://www.upsidedown-studio.de/,+491724519252,https://www.eversports.de/s/upsidedown-studio-friedrichsdorf,"['Yoga', 'Fitness', 'Poledance', 'Poledance', 'Krafttraining', 'Yoga', '4 Rezensionen', 'Fitness', 'Tanzen', 'Yoga', 'Poledance', 'Personal Training', 'Krafttraining', 'Faszientraining', 'Persönlichkeitsentwicklung', 'Stretching', 'Lapdance', 'Chairdance', 'Aerial Hoop', 'Aerial Akrobatik', 'Kindersport', 'Online Klasse', 'Artistik']",1 Angebot für Neukund:innen,[],2024-01-24 23:55:28,2024-01-24 23:55:28
,,,,,"['Übersicht', 'Klassen', 'Kurse', 'Preise', 'Team']",TheresaYogaZum StundenplanSandraZum StundenplanBrittanyFitnessPoledance+ 1Zum StundenplanGretaPoledanceKrafttraining+ 14Zum StundenplanSusiYogaZum StundenplanBiancaYogaZum StundenplanMelinaYogaZum StundenplanAzraYogaZum StundenplanCaroYogaZum StundenplanCorinnaYogaZum StundenplanJohannaYogaZum StundenplanJuliaYogaTanzen+ 17Zum StundenplanLisaYogaZum StundenplanMariaAerial HoopKindersportZum StundenplanMelanieYogaTanzen+ 17Zum StundenplanYvonneYogaZum Stundenplan,,,[], info@upsidedown-studio.de,https://www.upsidedown-studio.de/,+491724519252,https://www.eversports.de/s/upsidedown-studio-friedrichsdorf/team,"['Yoga', 'Fitness', 'Poledance', 'Poledance', 'Krafttraining', 'Yoga', 'Yoga', 'Yoga', 'Yoga', 'Yoga', 'Yoga', 'Yoga', 'Yoga', 'Tanzen', 'Yoga', 'Aerial Hoop', 'Kindersport', 'Yoga', 'Tanzen', 'Yoga']",Zum Stundenplan,[],2024-01-24 23:56:12,2024-01-24 23:56:12
,"['Solitudestraße 48 ', ' 71638 Ludwigsburg']",71638,Ludwigsburg,Solitudestraße 48 ,"['Übersicht', 'Klassen', 'Kurse', 'Workshops', 'Events', 'Videos', 'Preise', 'Team']","Du interessierst dich für Aerial Fitness wie Pole Dance oder Akrobatik mit dem Hoop? Dann nutze jetzt die Gelegenheit und komm vorbei.Bitte beachte für die Teilnahme an den Kursen unsere geltenden Hygieneregeln: https://aerial-loft.de/studio/#hygiene-hinweiseWachse im Aerial Loft über dich hinaus und erlebe das Gefühl von Tanz und Akrobatik vereint. Vergiss dabei die Alltagssorgen und schüttel den Stress einfach ab. Im Aerial Loft wirst du von einem professionellen Team betreut und kannst in einem Modernen und komplett ausgestatteten Studio trainieren, das dir neben den vielen Aerial-Kursen auch viele Yoga-Kurse bietet. Ob Fortgeschritten, Anfänger oder kompletter Neuling, es gibt den perfekten Kurs für jedermann. Wirf einen Blick in unseren Stundenplan oder sprich das Team direkt an.","4,9",60 Rezensionen,"['Raumqualität: 4.9', 'Freundlichkeit & Service: 5.0', 'Sauberkeit: 5.0', 'Atmosphäre: 5.0', 'Preis-Leistung: 4.8']", info@aerial-loft.de,http://www.aerial-loft.de,01733429658,https://www.eversports.de/s/aerial-loft,"['Poledance', 'Aerial Yoga', 'Personal Training', 'Poledance', 'Poledance', 'Personal Training', 'Personal Training', 'Poledance', 'Poledance', 'Personal Training', '60 Rezensionen', 'Yoga', 'Hip Hop', 'Poledance', 'Aerial Yoga', 'Ballett', 'Personal Training', 'Krafttraining', 'Stretching', 'Aerial Silk', 'Aerial Dance', 'Aerial Hoop', 'Polesport', 'Dehnung/Flexibilität', 'Ballett-Fitness']",1 Angebot für Neukund:innen,"['https://files.eversports.com/ad3c1e6e-a9e2-439e-b242-202a070c95b0/web-148jpg-x-large.webp', 'https://files.eversports.com/ca157794-b952-4bd6-a2e8-af39048dd0fe/web_yogis-15jpg-small.webp', 'https://files.eversports.com/81a598b4-e03d-4e92-a86a-b20953ac8b23/img_5549jpeg-small.webp', 'https://files.eversports.com/e14c2166-dc0e-470f-9003-83186021f263/web_yogis-84jpg-small.webp', 'https://files.eversports.com/58f0e852-3140-426e-8549-55773ed6345a/web-76jpg-small.webp']",2024-01-24 23:56:27,2024-01-24 23:56:27
,,,,,[],,,,[],,,,https://www.eversports.de/s/aerial-loft/videos,[],,[],2024-01-24 23:58:30,2024-01-24 23:58:30
,,,,,"['Übersicht', 'Klassen', 'Kurse', 'Workshops', 'Events', 'Videos', 'Preise', 'Team']",PiaPoledanceAerial Yoga+ 6Zum StundenplanVanessaPersonal TrainingPoledance+ 3Zum StundenplanSarahPoledancePersonal Training+ 3Zum StundenplanFenjaPersonal TrainingPoledance+ 3Zum StundenplanAnouPoledancePersonal Training+ 3Zum StundenplanMichaelPoledancePersonal Training+ 3Zum StundenplanLarissaPoledancePersonal Training+ 3Zum StundenplanTanjaPoledancePersonal Training+ 3Zum StundenplanSmarandaPoledancePersonal Training+ 3Zum StundenplanVivienPersonal TrainingAerial Dance+ 2Zum StundenplanJuliaKrafttrainingPersonal Training+ 1Zum StundenplanKatjaAerial YogaYoga+ 1Zum StundenplanInesAerial DanceAerial SilkZum StundenplanSophiePersonal TrainingKrafttraining+ 1Zum StundenplanDhanaPersonal TrainingBallett+ 3Zum StundenplanFranziAerial YogaYoga+ 1Zum StundenplanÖzlemYogaAerial Yoga+ 2Zum StundenplanNikolaKrafttrainingPersonal Training+ 3Zum StundenplanLina EliseBallettPersonal TrainingZum StundenplanAlbinaPersonal TrainingPoledance+ 2Zum StundenplanAnastasiiaPersonal TrainingPoledance+ 3Zum StundenplanJeaneyPoledancePersonal Training+ 5Zum StundenplanJessicaYogaPoledance+ 7Zum StundenplanSabrinaAerial YogaYogaZum StundenplanTinaAerial YogaYoga+ 2Zum Stundenplan,,,[], info@aerial-loft.de,http://www.aerial-loft.de,01733429658,https://www.eversports.de/s/aerial-loft/team,"['Poledance', 'Aerial Yoga', 'Personal Training', 'Poledance', 'Poledance', 'Personal Training', 'Personal Training', 'Poledance', 'Poledance', 'Personal Training', 'Poledance', 'Personal Training', 'Poledance', 'Personal Training', 'Poledance', 'Personal Training', 'Poledance', 'Personal Training', 'Personal Training', 'Aerial Dance', 'Krafttraining', 'Personal Training', 'Aerial Yoga', 'Yoga', 'Aerial Dance', 'Aerial Silk', 'Personal Training', 'Krafttraining', 'Personal Training', 'Ballett', 'Aerial Yoga', 'Yoga', 'Yoga', 'Aerial Yoga', 'Krafttraining', 'Personal Training', 'Ballett', 'Personal Training', 'Personal Training', 'Poledance', 'Personal Training', 'Poledance', 'Poledance', 'Personal Training', 'Yoga', 'Poledance', 'Aerial Yoga', 'Yoga', 'Aerial Yoga', 'Yoga']",Zum Stundenplan,"['https://files.eversports.com/ad3c1e6e-a9e2-439e-b242-202a070c95b0/web-148jpg-x-large.webp', 'https://files.eversports.com/ca157794-b952-4bd6-a2e8-af39048dd0fe/web_yogis-15jpg-small.webp', 'https://files.eversports.com/81a598b4-e03d-4e92-a86a-b20953ac8b23/img_5549jpeg-small.webp', 'https://files.eversports.com/e14c2166-dc0e-470f-9003-83186021f263/web_yogis-84jpg-small.webp', 'https://files.eversports.com/58f0e852-3140-426e-8549-55773ed6345a/web-76jpg-small.webp']",2024-01-24 23:58:31,2024-01-24 23:58:31
,"['Zum Wingert 10 ', ' 53783 Eitorf']",53783,Eitorf,Zum Wingert 10 ,"['Übersicht', 'Klassen', 'Workshops', 'Videos', 'Preise', 'Team']","Yoga and Pole Art by Selina bietet dir Online Live Klassen (inkl. 24h Aufzeichnungen), Intensivkurse, Workshops und Personal Training in folgenden Bereichen an:Hatha YogaVinyasa YogaYoga Rad (auch bekannt als Yoga Wheel) für Einsteiger und FortgeschritteneAerial YogaPole Trick TrainingSpinning Pole Combos EinsteigerSpinning Pole Combos IntermediateSplits on Pole IntermediateFlexi Pole TricksKrafttraining und TrainingsperiodisierungKrafttraining an der StangeZudem bietet dir Yoga and Pole Art by Selina zahlreiche Aufzeichnungen und Video Kurse im Pole Sport und Yoga Bereich.",5,55 Rezensionen,"['Raumqualität: 5.0', 'Freundlichkeit & Service: 5.0', 'Sauberkeit: 5.0', 'Atmosphäre: 5.0', 'Preis-Leistung: 4.9']", yogaandpoleartbyselina@gmail.com,http://www.yogaandpoleartbyselina.com,+49 15738925807,https://www.eversports.de/s/yoga-and-pole-art-by-selina,"['Aerial Yoga', 'Poledance', '55 Rezensionen', 'Poledance', 'Aerial Yoga', 'Personal Training', 'Meditation', 'Handstand', 'Vinyasa Yoga', 'Hatha Yoga', 'Yin Yoga', 'Polesport', 'Dehnung/Flexibilität', 'Yoga Rad', 'Yoga Wheel', 'Persönliches Coaching']",2 Angebote für Neukund:innen,"['https://files.eversports.com/b4921528-1315-4746-a1ee-a7bcb7d17ecd/img_2702-2jpg-x-large.webp', 'https://files.eversports.com/ce4d6229-b12d-4d23-93f2-8deb41f5175d/069jpg-small.webp', 'https://files.eversports.com/0c795402-b793-47c8-ab21-230b673ca430/2021-06-20t2-057-2jpg-small.webp', 'https://files.eversports.com/af4279a1-be71-4517-b45c-686af48848bb/img_2503-2jpg-small.webp', 'https://files.eversports.com/eca7dd71-fde4-496c-8f99-2f4cf4c9d4a0/002jpg-small.webp']",2024-01-24 23:58:42,2024-01-24 23:58:42
,,,,,[],,,,[],,,,https://www.eversports.de/s/yoga-and-pole-art-by-selina/videos,[],,[],2024-01-24 23:59:39,2024-01-24 23:59:39
,,,,,"['Übersicht', 'Klassen', 'Workshops', 'Videos', 'Preise', 'Team']",SelinaAerial YogaPoledance+ 10Zum Stundenplan,,,[], yogaandpoleartbyselina@gmail.com,http://www.yogaandpoleartbyselina.com,+49 15738925807,https://www.eversports.de/s/yoga-and-pole-art-by-selina/team,"['Aerial Yoga', 'Poledance']",Zum Stundenplan,"['https://files.eversports.com/b4921528-1315-4746-a1ee-a7bcb7d17ecd/img_2702-2jpg-x-large.webp', 'https://files.eversports.com/ce4d6229-b12d-4d23-93f2-8deb41f5175d/069jpg-small.webp', 'https://files.eversports.com/0c795402-b793-47c8-ab21-230b673ca430/2021-06-20t2-057-2jpg-small.webp', 'https://files.eversports.com/af4279a1-be71-4517-b45c-686af48848bb/img_2503-2jpg-small.webp', 'https://files.eversports.com/eca7dd71-fde4-496c-8f99-2f4cf4c9d4a0/002jpg-small.webp']",2024-01-24 23:59:39,2024-01-24 23:59:39
,"['Ravensburgerstraße 110-112 ', ' 50739 Köln']",50739,Köln,Ravensburgerstraße 110-112 ,"['Übersicht', 'Klassen', 'Workshops', 'Videos', 'Preise', 'Team']","Das Pole Paradise in Köln ist ein Studio, in dem Tanz und Leidenschaft mit der Stange eins werden. Angeboten werden Poledance Kurse auf verschiedenen Leveln, verschiedene Gymnastikkurse an der Stange, Aerial Hoop und Aerial Flow. Es gibt auch spezielle Angebote für Kids, Workshops, Ferienrabatte und Einsteiger-Angebote. Das Angebot ist umfangreich, komm einfach mal vorbei und lass dich von Poledance im Pole Paradise überzeugen","4,9",65 Rezensionen,"['Raumqualität: 4.8', 'Freundlichkeit & Service: 4.9', 'Sauberkeit: 4.9', 'Atmosphäre: 4.9', 'Preis-Leistung: 4.9']", poleparadise@gmx.de,https://www.pole-paradise.com,+491774616007,https://www.eversports.de/s/pole-paradise,"['Gymnastik', 'Turnen', 'Fitness', 'Gymnastik', 'Gymnastik', 'Turnen', 'Fitness', 'Gymnastik', 'Gymnastik', 'Fitness', '65 Rezensionen', 'Fitness', 'Gymnastik', 'Tanzen', 'Turnen', 'Poledance', 'Akrobatik', 'Power Pole', 'Floorwork', 'Chairdance', 'Aerial Silk', 'Aerial Dance', 'Aerial Hoop', 'Aerial Akrobatik']",Zum Stundenplan,"['https://files.eversports.com/463db4b8-85b0-4fbb-8477-bfa03324e2ae/17211914_745099798983333_6506084998826309716_ojpg-x-large.webp', 'https://files.eversports.com/049a756a-ae3b-4624-a4dc-e4f03ffff6e7/13717256_512789538926811_9186635847445824713_ojpg-largejpg-small.webp', 'https://files.eversports.com/3cf591c1-f810-46c0-a44d-63c7b3b92415/17038826_738872342939412_4507070170344867741_ojpg-small.webp', 'https://files.eversports.com/5ed7758a-9afc-4977-bcb5-f38b500b7421/13248353_488176851388080_4937791485136005128_ojpg-largejpg-small.webp']",2024-01-24 23:59:51,2024-01-24 23:59:51
,,,,,[],,,,[],,,,https://www.eversports.de/s/pole-paradise/videos,[],,[],2024-01-25 00:02:03,2024-01-25 00:02:03
