Workshop Name,Beschreibung,Studio Name,Location,Category,Date,URL_E,Time
,"Möchtest du auch gerne mal deine tänzerische Seite rauslassen? Dann ist unser Chair Dance Workshop perfekt für dich. Denn viel aufregender als nur auf einem Stuhl herumzusitzen ist der ästhetische Tanz vor, neben und auf dem Stuhl. Es erwartet dich eine großartige Choreografie, die neben tänzerischen Elementen auch etwas Floorwork und akrobatische Elemente beinhaltet. Für diesen Workshop sind keinerlei Vorkenntnisse notwendig.  Bitte bringe eine Leggins, Knieschoner und ein T-Shirt mit zum Workshop. Der Workshop kostet für Mitglieder einen Aufpreis von 6,00€.",Pole and Move Ketsch,Einzelticket,Fitness,"Samstag, 27. Januar 2024",https://www.eversports.de/e/workshop/d8-2jYm,12:30 - 13:40
,"Bist du bereit, deine Hüften zu bewegen und den Rhythmus zu spüren? 🤭 Willkommen zu unserem Twerking-Workshop! Twerking ist mehr als nur ein Tanzstil - es ist eine Ausdrucksform, die deine Kreativität und dein Selbstbewusstsein zum Ausdruck bringt.  In diesem Workshop lernst du: Welche Vorteile bieten die Twerking? Und das alles während du jede Menge Spaß hast!  Für unseren Twerking Workshop brauchst du keinerlei Vorkenntnisse, du musst einfach nur Lust haben etwas Neues zu lernen  Bitte bringe Knieschoner mit zum Workshop. Der Workshop kostet für Mitglieder einen Aufpreis von 6,00€.",Pole and Move Ketsch,Einzelticket,Poledance,"Samstag, 27. Januar 2024",https://www.eversports.de/e/workshop/m2bIKF_,13:45 - 14:55
,"Burlesque geht auf das italienische Wort ""burla"" zurück, was so viel wie ""Spaß"" bedeutet. Und genau den wirst du in diesem Workshop haben! Denn mittlerweile gehört auch Burlesque nicht mehr hinter verschlossene Türen. Du wirst lernen wie du dich sinnlich bewegst und auf witzige Weise verführst. Dabei kannst du eine ganz neue Seite an dir entdecken und und deine innere Burlesque-Tänzerin zum lachen bringen. Für diesen Workshop brauchst du keinerlei Vorerfahrungen. Dieser Workshop kostet für Mitglieder einen Aufpreis von 6€.",Pole and Move Ketsch,Einzelticket,Fitness,"Samstag, 2. März 2024",https://www.eversports.de/e/workshop/nZwqDWw,12:30 - 13:40
,"Du möchtest gerne den Handstand lernen und dir fehlt Geschicklichkeit oder Kraft? In diesem Workshop werden die Basics für den Handstand an der Pole geübt. Keine Sorge, du musst den Handstand nicht können oder perfekt halten. Dir werden Tricks gezeigt, wie du den Handstand besser halten kannst und Tipps gegeben welche Kraftübungen zum Ziel führen können. Es werden außerdem elegante Handstand Shapes mit passenden Transitions geübt. Dieser Workshop kostet 6 Euro Aufpreis.",Pole and Move Ketsch,Einzelticket,Fitness,"Samstag, 2. März 2024",https://www.eversports.de/e/workshop/NCNYd8p,13:45 - 14:55
,"In diesem Kurs lernen Sie, Pole-Bewegungen und Tricks mit lyrischem Tanz zu verschmelzen. Lyrischer Tanz ist eine elegante und expressive Form des Tanzes, die Emotionen und Musikalität durch Bewegung vermittelt. Dieser Kurs wird sich darauf konzentrieren, die Anmut des lyrischen Tanzes und die Kraft des Poles zu vereinen, um kraftvolle, emotional fesselnde Routinen zu schaffen und gleichzeitig Ihre Fluidität in Bewegungen und Übergängen auf und neben dem Pole zu steigern.",Flow Fusion Pole-Aerial-Dance Studio,"Platenstraße 64, 90441 Nürnberg",Choreographie,"Donnerstag, 22. Februar 2024",https://www.eversports.de/e/workshop/pcj6I1Q,19:00 - 20:30
,"Endlich ist POLE FLOW zurück - 90 Minuten pure Poleliebe! Wir widmen uns einer abwechslungsreichen Choreografie in langer Hose. Dich erwarten schnelle Wechsel, weiche Bewegungen und fließende Übergänge. Der Fokus liegt auf eleganten Spinkombinationen und bodenakrobatischen Elementen. Song: Deep End - Ruelle",Pure Motion Kiel,"Eichkamp 1-5, 24116 Kiel",Poledance,"Sonntag, 18. Februar 2024",https://www.eversports.de/e/workshop/Z1qnkVh,13:30 - 15:00
,"Es kommt Schwung in die Kiste! Möchtet ihr eure Tanzfähigkeiten verbessern und dabei eine Menge Spaß haben? Dann ist unser exklusiver Twerk-Workshop genau das Richtige für euch! Unser Twerk-Workshop richtet sich an alle, die Freude am Tanzen haben und neue Moves lernen möchten. Ihr braucht keinerlei Vorkenntnisse, um teilzunehmen. Jeder ist herzlich willkommen!",Pole Faction - Darmstadt,"Twerk Ticket für So. 25.02.2024, 18:00 - 19:30",Choreographie,"Beginnt am Sonntag, 28. Januar 2024",https://www.eversports.de/e/workshop/FP-cEyn,"Heidelberger Landstrasse 237, 64297 Darmstadt"
,"Entdeckt im Februar die Magie der Liebe mit unseren 5 sinnlichen Workshops! Egal ob alleine oder zu zweit - bei uns ist Spaß garantiert! Bucht jetzt alle 5 Workshops und sichert euch einen exklusiven Rabatt! Liebe liegt in der Luft - verliebt euch in neue Erfahrungen! Alle Double Workshops können in allen Konstellationen getanzt werden, egal ob Mann-Mann, Frau-Frau oder Frau-Mann. CHAIRDANCE, Freitag, 09.02., 17.15 - 18.45 Uhr mit Claudi (1 Termin) CHOREO DANCE, Dienstag, 13.02., 17.15 - 18.45 Uhr mit Yannis (1 Termin) DOUBLE HOOP, Mittwoch, 14.02., 17.30 - 19.00 Uhr mit Claudi (1 Termin) DOUBLE POLE, Sonntag, 25.02., 11.00 - 12.30 Uhr mit Claudi und Dalina (1 Termin) LOVELY EXOTIC, Dienstag, 27.02., 18.30 - 20.00 Uhr mit Claudi (1 Termin) ____________________________________________________________________________ CHAIRDANCE (ab 18 Jahren) Entdecke die faszinierende Welt des Chairdance! In unserem Workshop erlebst du eine einzigartige Fusion aus Sinnlichkeit und Kraft. Lerne verführerische Bewegungen um und auf dem Stuhl - perfekt für Anfänger und Fortgeschrittene. Vielleicht möchtest du ja deinen Schatz mit einem sinnlichen Tanz verzaubern? Entdecke, dass Stühle mehr können, als nur zum Sitzen da zu sein. Sei dabei und tanze in eine neue Dimension! _______________ CHOREO DANCE Entdecke die Magie des Tanzes im Choreo Dance Valentins Workshop! Tauche ein in sinnliche Bewegungen und kombiniere sie zu einem atemberaubenden Tanz. Staune darüber, was dein Körper alles kann. Verleihe diesem Valentinstag eine besondere Note – sei dabei und erlebe die Faszination der Choreographie! _________________ DOUBLE HOOP Tauche ein in die Welt der Liebe und Eleganz! Erlebe gemeinsam mit deinem (Hoop)Partner den Valentins Double Hoop Workshop – ein zauberhaftes Abenteuer im Aerial Hoop. Entdeckt zusammen die Schönheit akrobatischer Kunst und lasst euch von einer fesselnden Double Hoop Choreografie verzaubern. Überrascht euch selbst, was ihr gemeinsam auf den Hoops kreieren könnt. Liebe, Leidenschaft und atemberaubende Moves – ein unvergessliches Erlebnis für euch als (Hoop)Paar. Sichert euch jetzt eure Plätze und taucht ein in die Welt der schwebenden Emotionen! _________________ DOUBLE POLE Entdecke die Magie des Valentins Double Pole Workshops! Tauche ein in die Welt eleganter und kraftvoller Pole-Tricks zu zweit. Schnapp dir deinen Partner oder deine Partnerin und lernt gemeinsam, wie ihr zusammen in schwindelerregende Höhen aufsteigen könnt. Gemeinsam werdet ihr am Ende des Workshops eine bezaubernde Choreografie an der Pole präsentieren. Erlebt unvergessliche Momente voller Spaß, Liebe und künstlerischem Ausdruck – der perfekte Weg, eure Verbindung zu feiern. Seid bereit, gemeinsam zu fliegen! ___________________________ LOVELY EXOTIC (ab 18 Jahren) Tauche ein in die verführerische Welt von LOVELY EXOTIC! Auf die Heels, fertig, los! Erlebe Sinnlichkeit, Exotik und Magie, während wir elegant und anmutig auf High Heels um die Pole tanzen. Leihschuhe vor Ort machen dieses Erlebnis noch zugänglicher. Lass dich von unserer einzigartigen Atmosphäre verzaubern – entfessele die Eleganz in dir!",Seemannsbraut Poledance,"Chairdance, 09.02.2024, 17.15 - 18.45 Uhr",Poledance,"Beginnt am Freitag, 9. Februar 2024",https://www.eversports.de/e/workshop/tjSmCEx,"Ochsenweg 27-29, 24941 Flensburg"
,Favorite Tricks and Combos : 90 min Hier zeige ich euch einige meiner Lieblingstricks und Kombinationen sowohl an der Static als auch an der Spinning Pole. Keine Angst es sind nicht nur die schwierigsten Tricks oder Kombis die toll aussehen :-) Ich werde das Level an euch anpassen oder auch auf Wünsche eingehen:-),Seemannsbraut Poledance,"Ochsenweg 27-29, 24941 Flensburg",Poledance,"Samstag, 17. Februar 2024",https://www.eversports.de/e/workshop/mQPzgO-,18:00 - 19:30
,"Du wolltest Poledance schon immer mal ausprobieren? Genau jetzt ist die richtige Zeit dafür! Schluss mit den Entbehrungen - Auf in ein neues sportliches Abenteuer! Teste den Pole Sport und unser Studio einen Monat lang auf Herz und Nieren und bekomme einen Eindruck, wie es ist eine Polerina zu sein. Entdecke Dich neu und spüre wie diese Sportart Deinem Körpergefühl und Deinem Selbstbewusstsein neuen Schwung verleiht! Inhalt: 4 Poledance-Einheiten/ 4 Wochen - inklusive der kostenlosen Nutzung des freien Trainings (Open Class) - für nur 69 Euro Beim Poledance trägst Du eine kurze Sporthose (am besten eine ganz kurze Hotpants), einen Sport-BH/ -top und bringst bitte ein Mikrofasertuch, sowie ein Getränk (keine Glasflaschen) mit. Wir trainieren auf Socken und/ oder barfuß. Turnschuhe sind nicht erforderlich. Schmuck (Ringe, Armbänder, Ketten etc.) und Piercings MÜSSEN (!) abgelegt werden, da sonst das Verletzungsrisiko erhöht ist und/ oder die Stangen beschädigt werden. Dein PoleRoom Team",PoleRoom Braunschweig,Beginner Workshop Poledance,Poledance,"Begann am Freitag, 5. Januar 2024",https://www.eversports.de/e/workshop/TxFNxWf,"Büchnerstraße 10, 38118 Braunschweig"
