Workshop Name,Workshop Date,Workshop Price,Workshop Units,Workshop Studio,Workshop Address,URL_E
Twerkshop by Maddie,März02Samstag,"ab 27,00 €",1 Einheit,Aerial Loft,"Solitudestraße 48, 71638 Ludwigsburg",https://www.eversports.de/e/workshop/N4v8WV0
WORKSHOP: Chair Dance,März16Samstag,"ab 27,00 €",1 Einheit,Aerial Loft,"Solitudestraße 48, 71638 Ludwigsburg",https://www.eversports.de/e/workshop/onN7Doj
All About Forearmstand (4 Wochen Online Intensivkurs) ,Jan07bis Jan 28,Ausgebucht,4 Einheiten,Yoga and Pole Art by Selina,"Online *, World Wide",https://www.eversports.de/e/workshop/WN-XHxi
Spinning Pole Combos Intermediate Online Workshop,Feb11Sonntag,"ab 44,00 €",1 Einheit,Yoga and Pole Art by Selina,"Online *, World Wide",https://www.eversports.de/e/workshop/dhAWne_
Kopfstand Technik Online Workshop ,Feb24Samstag,"ab 44,00 €",1 Einheit,Yoga and Pole Art by Selina,"Online *, World Wide",https://www.eversports.de/e/workshop/p_eKWTW
Atemtechniken Online Workshop ,März09Samstag,"ab 44,00 €",1 Einheit,Yoga and Pole Art by Selina,"Online *, World Wide",https://www.eversports.de/e/workshop/1PmB24I
Split & Straddle Technik Online Workshop ,März22Freitag,"ab 44,00 €",1 Einheit,Yoga and Pole Art by Selina,"Online *, World Wide",https://www.eversports.de/e/workshop/Zk4neM3
Split on Pole (Intermediate) Online Workshop,März29Freitag,"ab 44,00 €",1 Einheit,Yoga and Pole Art by Selina,"Online *, World Wide",https://www.eversports.de/e/workshop/VnmCBGD
Yoga Rad Einsteiger Online Workshop ,Apr06Samstag,"ab 44,00 €",1 Einheit,Yoga and Pole Art by Selina,"Online *, World Wide",https://www.eversports.de/e/workshop/qdYG4WC
Competition Pole Tricks Intermediate & Advanced Level Online Workshop ,Apr12Freitag,"ab 44,00 €",1 Einheit,Yoga and Pole Art by Selina,"Online *, World Wide",https://www.eversports.de/e/workshop/M4MjCdo
Spinning Pole Combos Intermediate Online Workshop,Mai01Mittwoch,"ab 44,00 €",1 Einheit,Yoga and Pole Art by Selina,"Online *, World Wide",https://www.eversports.de/e/workshop/bi8m5zs
Yoga Rad Online Workshop: Schwerpunkt Backbends ,Mai19Sonntag,"ab 44,00 €",1 Einheit,Yoga and Pole Art by Selina,"Online *, World Wide",https://www.eversports.de/e/workshop/ccLkJAE
Partner Akrobatik Workshop,Feb04Sonntag,"ab 30,00 €",1 Einheit,Pole Paradise,"Ravensburger Straße 110-112, 50739 Köln",https://www.eversports.de/e/workshop/1zI8wYx
Exotic Valentins Choreo,Feb17Samstag,"ab 30,00 €",1 Einheit,Pole Paradise,"Ravensburger Straße 110-112, 50739 Köln",https://www.eversports.de/e/workshop/NLk1782
Lyrical Pole Workshop - Anfänger,Feb22Donnerstag,"ab 30,00 €",1 Einheit,Flow Fusion Pole-Aerial-Dance Studio,"Platenstraße 64, 90441 Nürnberg",https://www.eversports.de/e/workshop/pcj6I1Q
Heels Pole,Jan26Freitag,ab 0 €,1 Einheit,PoleFit Aline Sustrath,"Landgrafenstraße 6, 66969 Lemberg",https://www.eversports.de/e/workshop/cMAYTid
Floorplay,Jan26Freitag,ab 0 €,1 Einheit,PoleFit Aline Sustrath,"Landgrafenstraße 6, 66969 Lemberg",https://www.eversports.de/e/workshop/VKmdxO2
Welcome to Burlesque!,März02Samstag,"ab 70,00 €",1 Einheit,PoleFit Aline Sustrath,"Landgrafenstraße 6, 66969 Lemberg",https://www.eversports.de/e/workshop/F0nh2br
Chairdance,Jan27Samstag,"ab 30,00 €",1 Einheit,Pole and Move Ketsch,"Gutenbergstraße 36, 68775 Ketsch",https://www.eversports.de/e/workshop/d8-2jYm
Twerking Workshop,Jan27Samstag,Ausgebucht,1 Einheit,Pole and Move Ketsch,"Gutenbergstraße 36, 68775 Ketsch",https://www.eversports.de/e/workshop/m2bIKF_
Burlesque,März02Samstag,"ab 30,00 €",1 Einheit,Pole and Move Ketsch,"Gutenbergstraße 36, 68775 Ketsch",https://www.eversports.de/e/workshop/nZwqDWw
Handstand,März02Samstag,"ab 30,00 €",1 Einheit,Pole and Move Ketsch,"Gutenbergstraße 36, 68775 Ketsch",https://www.eversports.de/e/workshop/NCNYd8p
Stripperella (all level),Jan27Samstag,"ab 60,00 €",1 Einheit,Nordpole,"Mendelssohnstraße 15B, 22761 Hamburg",https://www.eversports.de/e/workshop/eNLYiTi
Floorwork Stripperstyle (all level),Jan27Samstag,"ab 60,00 €",1 Einheit,Nordpole,"Mendelssohnstraße 15B, 22761 Hamburg",https://www.eversports.de/e/workshop/kP5QagX
WORKSHOP- Improve Your Invert Skills,Feb24Samstag,"ab 39,00 €",1 Einheit,Body meets Soul Leipzig,"Gabelsbergerstraße 1a, 04317 Leipzig",https://www.eversports.de/e/workshop/uO9N1VQ
Polefitness Kids,Jan10bis Jan 31,"ab 43,00 €",4 Einheiten,PoleathletiX,"Industriestr 10, 22927 Celle",https://www.eversports.de/e/workshop/bFfG7kg
