,PoleStudio,PLZ,Stadt,Adresse,Pole Studio Beschreibung,Start Preis,Ratingscore,Reviewanzahl,E-Mail,Homepage,Telefon,Eversports Pole Studio Seite,Version
0,UpsideDown Studio Friedrichsdorf,61381,Am Houiller Platz 4D , 61381 Friedrichsdorf,"Das Studio UpsideDown ist in Friedrichsdorf zu finden. Interessierte können Aerial Hoop (Luftkünste), Poledance, Stretch und Relax trainieren. Für Freiluftenthusiasten ist ein Outdoor-Training, eine Kombination aus Kraft und Ausdauer, möglich. Aerial Hoop wird in luftiger Höhe praktiziert und kommt einem Flug durch die Lüfte sehr nahe. Im Studio UpsideDown können Neueinsteiger ihre Fitness auf akrobatische Weise auf die Probe stellen.",0,4.8,3 Rezensionen, info@upsidedown-studio.de,https://www.upsidedown-studio.de/,+491724519252,https://www.eversports.de/s/upsidedown-studio-friedrichsdorf,2023-05-12 15:56:07
1,Aerial Loft,70806,Bahnhofstraße 12 , 70806 Kornwestheim,"Du interessierst dich für Aerial Fitness wie Pole Dance oder Akrobatik mit dem Hoop? Dann nutze jetzt die Gelegenheit und komm vorbei.
Bitte beachte für die Teilnahme an den Kursen unsere geltenden Hygieneregeln: https://aerial-loft.de/studio/#hygiene-hinweise
Wachse im Aerial Loft über dich hinaus und erlebe das Gefühl von Tanz und Akrobatik vereint. Vergiss dabei die Alltagssorgen und schüttel den Stress einfach ab. Im Aerial Loft wirst du von einem professionellen Team betreut und kannst in einem Modernen und komplett ausgestatteten Studio trainieren, das dir neben den vielen Aerial-Kursen auch viele Yoga-Kurse bietet. Ob Fortgeschritten, Anfänger oder kompletter Neuling, es gibt den perfekten Kurs für jedermann. Wirf einen Blick in unseren Stundenplan oder sprich das Team direkt an.",0,4.9,51 Rezensionen, info@aerial-loft.de,http://www.aerial-loft.de,+49 1733429658,https://www.eversports.de/s/aerial-loft,2023-05-12 15:56:07
2,Yoga and Pole Art by Selina,53783,Zum Wingert 10 , 53783 Eitorf,"Yoga and Pole Art by Selina bietet dir Online Live Klassen (inkl. 24h Aufzeichnungen), Intensivkurse, Workshops und Personal Training in folgenden Bereichen an:
· Hatha Yoga
· Vinyasa Yoga
· Yoga Rad (auch bekannt als Yoga Wheel) für Einsteiger und Fortgeschrittene
· Aerial Yoga
· Pole Trick Training
· Spinning Pole Combos Einsteiger
· Spinning Pole Combos Intermediate
· Splits on Pole Intermediate
· Flexi Pole Tricks
· Krafttraining und Trainingsperiodisierung
· Krafttraining an der Stange
Zudem bietet dir Yoga and Pole Art by Selina zahlreiche Aufzeichnungen und Video Kurse im Pole Sport und Yoga Bereich.",0,5.0,49 Rezensionen, yogaandpoleartbyselina@gmail.com,http://www.yogaandpoleartbyselina.com,+49 15738925807,https://www.eversports.de/s/yoga-and-pole-art-by-selina,2023-05-12 15:56:08
3,Pole Paradise,50739,Ravensburgerstraße 110-112, 50739 Köln,"Das Pole Paradise in Köln ist ein Studio, in dem Tanz und Leidenschaft mit der Stange eins werden. Angeboten werden Poledance Kurse auf verschiedenen Leveln, verschiedene Gymnastikkurse an der Stange, Aerial Hoop und Aerial Flow. Es gibt auch spezielle Angebote für Kids, Workshops, Ferienrabatte und Einsteiger-Angebote. Das Angebot ist umfangreich, komm einfach mal vorbei und lass dich von Poledance im Pole Paradise überzeugen",0,4.9,61 Rezensionen, poleparadise@gmx.de,https://www.pole-paradise.com,+491774616007,https://www.eversports.de/s/pole-paradise,2023-05-12 15:56:08
4,Flow Fusion Pole-Aerial-Dance Studio,90441,Platenstraße 64 , 90441 Nürnberg,"Diese Sportanlage bietet eine Vielzahl an Sportarten an. Sieh dir das breite Angebot der Anlage an, wie z.B. Sportplätze, Klassen, Trainings, Workshops, Camps, etc. Finde weitere Informationen wie Bewertungen, Standort, Preise, Lehrer:innen und Trainer:innen, sowie FAQs weiter unten.",0,5.0,5 Rezensionen, hello@flowfusion.de,http://www.flowfusion.de,+49 1629468932,https://www.eversports.de/s/flow-fusion-pole-aerial-dance-studio,2023-05-12 15:56:09
5,PoleFitness Leipzig,4103,Salomonstraße 18B , 04103 Leipzig,"Du suchst ein ansprechendes Krafttraining? Du willst Spaß und einen stählernen Körper?
Wir zeigen dir, wie du deinen Körper effektiv trainierst und dabei in ungeahnte Höhen aufsteigst!
Unser Studio mit über 4,70 Meter hohen Stangen bietet genug Spielraum für erste Schritte, stetiges Training und den Übergang in den Performance-Bereich. Unsere erfolgreichen Trainerinnen nehmen deine individuellen Ziele in die Hand und bringen sie für dich in greifbare Nähe.",0,4.9,10 Rezensionen, info@polefitness-leipzig.de,https://polefitness-leipzig.de/,+49 1629269299,https://www.eversports.de/s/polefitness-leipzig,2023-05-12 15:56:09
6,PoleFit Aline Sustrath,66969,Landgrafenstraße 6, 66969 Lemberg,"Pole Dance bzw. Pole Fitness ist eine Sportart, die Fitness-, Yoga-, Gymnastik- und Akrobatik miteinander kombiniert. Es ist eine abwechslungsreiche und ästhetische Trainingsmethode, die Ausdauer, Kraft und Flexibilität in den Fokus stellt. Sowohl Frauen als auch Männer aller Altersgruppen mit ganz unterschiedlichen Körperstrukturen, physischen Eigenschaften und Vorerfahrungen im Fitness- und Tanzbereich können diesen Sport ausüben. 
Die Kurse bauen nach einem Levelsystem auf.Das heißt am Anfang kannst du entweder eine Probestunde oder 4 Probestunden aufeinmal buchen, welche vier Wochen andauern. Danach kommst du zum Level 1, dann Level 2 usw. Hast du bereits Erfahrungen im Polesport wirst du dem Level entsprechend eingestuft.",0,0.0,(Noch keine Bewertungen), polefit.alinesustrath@gmail.com,https://www.polefit-pirmasens.com,+49 15254594149,https://www.eversports.de/s/polefit-aline-sustrath,2023-05-12 15:56:10
7,Divapole,4177,Kuhturmstraße 2 , 04177 Leipzig,"Divapole ist ein Poledance Studio und befindet sich am schönen Lindenauer Markt in Leipzig. Besonders ist, das es hauptsächlich auf Einzelunterricht ausgerichtet ist. Das bedeutet, 1-3 Personen in einer Stunde mit einer persönlichen Trainerin und zu gewünschten Zeiten. Man kann also alleine trainieren oder auch mit der besten Freundin. Divapole legt großen Wert auf Wohlfühlen, individuelles Training auf jeden abgestimmt und Motivation. Es gibt 2 Räume, einen kleinen Raum mit 2 Stangen (Studio1) und einen größeren Raum mit 3 Stangen (Studio2), wo natürlich auch kleine Gruppenkurse und Workshops mit maximal 6 Personen stattfinden. Außerdem gibt es noch verschiedene Angebote für private Gruppenveranstaltungen wie z.B. JGA, Geburtstage oder Weihnachtsfeiern. Wer sich noch nicht an die Stange traut, kann auch nur zum personal Fittness Training kommen, auch das ist möglich.",0,5.0,6 Rezensionen, nancy.doberleit@gmail.com,http://www.divapole.de,+49 1784394141,https://www.eversports.de/s/divapole,2023-05-12 15:56:10
8,Papillon Dance and Sport Academy,76185,Hardtstraße 39a , 76185 Karlsruhe,"Diese Sportanlage bietet eine Vielzahl an Sportarten an. Sieh dir das breite Angebot der Anlage an, wie z.B. Sportplätze, Klassen, Trainings, Workshops, Camps, etc. Finde weitere Informationen wie Bewertungen, Standort, Preise, Lehrer:innen und Trainer:innen, sowie FAQs weiter unten.",0,5.0,22 Rezensionen, papillon.poleandaerial@gmail.com,http://www.papillon-poledance.de,+49 17664287750,https://www.eversports.de/s/papillon-dance-and-sport-academy,2023-05-12 15:56:11
9,AIRobics,22081,Holsteinischer Kamp 58 , 22081 Hamburg,"Bei AIRobics geht es, wie der Name schon vermuten lässt, um Bewegungen in der Luft. Genauer, es ist ein Studio für Luftakrobatik und Tanz. Bei uns erlernst du atemberaubende Tricks, Kombinationen und auch ganze Choreographien an der Pole, dem Aerial Silk, dem Aerial Hoop und dem Aerial Hammock. Darüber hinaus kannst du deine Fitness und Flexibilität in verschiedenen Bodenkursen verbessern. Und an alle Eltern: AIRobics hat ein auch ein vielseitiges Angebot für Kinder!",0,4.9,45 Rezensionen, dance@airobics.de,https://airobics.de/,+49 15117626559,https://www.eversports.de/s/airobics,2023-05-12 15:56:12
