"Name","Art","Inaktiv","Datum","Owner","Webseite","Uhrzeit","Enddatum","Level","Preis","Dauer","Kategorie","Beschreibung","Trainer","Anbieter","Pole Studio","Stadt","Land","Kurzbeschreibung","Schwerpunkte","Titelbild","Portfolio","Favoriten","Created Date","Löschvermerk","ID","Updated Date","Trainerbeschreibung","Trainerbild","Richtigkeit der Angaben","Bilder inkludiert","Kosten pro Bild","Events (All)","Events (Name)"
"pulse pole dance camp","Pole Camp",true,"2023-12-16","284241e1-0e53-4183-b67f-34edcfb7c8b1","https://pulse-champ.ru/",,,"Alle Level",,,,,,,,,,,,,,,2023-09-22T08:43:45Z,,"000e3c0f-5c12-49dc-a94e-c2134f82d52f",2023-09-22T08:48:49Z,,,,,,"/workshop/","/event/pulse-pole-dance-camp"
"Floorwork Stripperstyle (all level)","Workshop",,"2024-01-27","284241e1-0e53-4183-b67f-34edcfb7c8b1","https://www.eversports.de/e/workshop/kP5QagX","16:30 - 17:45 Uhr",,"Alle Level","ab 55,00 €",,"Pole & Heels","<p class=""font_8"">Hair Flicks, Heels Clacks, Crazy Legs & Booty Popping!</p>","<p class=""font_8"">Mareen</p>",,"3b86208c-387d-404f-b1d3-c28b6ea3632a","Hamburg","Deutschland",,,,,,2023-10-08T13:33:54Z,,"0121b4d1-cda0-4a1e-9124-dc98e5ca73f7",2023-11-01T14:02:04Z,,,,,,"/workshop/","/event/floorwork-stripperstyle-(all-level)"
"Pole Dance Camp - Tenerife January","Pole Camp",,"2024-01-21","284241e1-0e53-4183-b67f-34edcfb7c8b1","https://www.facebook.com/events/941235323981022/",,"2024-01-28",,"ab £600",,,"<p class=""font_8"">Is there a sexy pole dancer inside of you? Let them come out with GFF Pole Dance Camp! Imagine waking up and starting the day with a sexy stretch class on the beach for a bit of fun in the sun, then onto some sexy workshops hosted by the best instructors!!!! Up to 15 hours of hot workshops <img alt=""🤩"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/tf7/2/16/1f929.png"" width=""16"">!!! *** Your dreams have now become a reality***</p>
<p class=""font_8"">Join us for an amazing opportunity to learn all things Pole Dance from the best in the industry - Russian style, sexy choreography, striptease, heels technique, floorwork, sensual dance and more. Suitable for all levels (There will be three groups A- medium level (improver+/intermediate), B - low level (beginners), C - high level (advanced) perfect for instructors and high level students in pole dance. There will be only 12 places in each group, First come first served.</p>
<p class=""font_8""><img alt=""🌴"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t8b/2/16/1f334.png"" width=""16"">The opportunity for a fabulous holiday with lots of pole time, dance classes, sun bathing, pool time, cocktails, sightseeing and shopping…. Discover TENERIFE Packages below:<br>
Bookings open Friday 28.04.2023 at 12:00pm BST. There will be active link to pay your deposits using your bank card. THIS CAMP IS OPEN FOR EVERYBODY! YOU DON`T HAVE TO BE A STUDENT AT GFF TO ATTEND THIS CAMP/WORKSHOPS!!!</p>
<p class=""font_8""><img alt=""⭐"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t35/2/16/2b50.png"" width=""16""> INSTRUCTORS LINEUP <img alt=""⭐"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t35/2/16/2b50.png"" width=""16""><br>
𝗗𝗔𝗠𝗜𝗔𝗡 𝗞𝗨𝗧𝗥𝗬𝗕 @damiankutryb (host)<br>
1) 𝙎𝘼𝙎𝙃𝘼 𝙈𝙀𝙊𝙒 @sashameow_poledance<br>
2) 𝗝𝗔𝗭𝗭𝗬 𝗞 @jazzykpole<br>
3) 𝗕𝗘𝗔𝗡𝗜𝗘 𝗧𝗛𝗘 𝗝𝗘𝗧 @beanie_the_jet<br>
4) 𝗗𝗢𝗥𝗜𝗦 𝗔𝗥𝗡𝗢𝗟𝗗 @dorisarnoldpoledancer x<br>
5) 𝗔𝗥𝗧𝗨𝗥 𝗕𝗜𝗘𝗥𝗡𝗔𝗧 @art.biernat</p>
<p class=""font_8"">■ 𝗪𝗵𝗮𝘁 𝗹𝗲𝘃𝗲𝗹 𝗶𝘀 𝘁𝗵𝗲 𝗰𝗮𝗺𝗽 𝗳𝗼𝗿?<br>
This will be an intensive week so its recommend that you be used to poling for few hours a week. You have the time to up your pole game and build on your strength and stamina by conditioning!!:)</p>
<p class=""font_8"">There will be three groups (12 places in each):<br>
(A - improvers+/intermediate) <img alt=""⛔️"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t3e/2/16/26d4.png"" width=""16"">sold out!<br>
(B - improvers+/intermediate)<br>
(C - advanced) <img alt=""⛔️"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t3e/2/16/26d4.png"" width=""16"">sold out!</p>
<p class=""font_8"">▪︎ 𝔾ℝ𝕆𝕌ℙ 𝔸<br>
Students must be able to use the platforms confidently, being able to lift bodyweight off the floor with hands in split grip, being able to invert from the floor with strength, familiar with shoulder stands, flow heels technique, pirouettes, spins on static pole. Must be comfortble with cross knee and lay backs, leg hangs and butterfly(extended).</p>
<p class=""font_8"">▪︎ 𝔾ℝ𝕆𝕌ℙ 𝔹<br>
Students must be able to use the platforms confidently, being able to lift bodyweight off the floor with hands in split grip, being able to invert from the floor with strength, familiar with shoulder stands, flow heels technique, pirouettes, spins on static pole. Must be comfortble with cross knee and lay backs, leg hangs and butterfly(extended).<br>
[Beginner] are also welcome in this group.<br>
Students must be able to Pirouette, understand basic spin technique, climb in heels, have previous experience of dancing in heels (6+ months), Beginners students are welcome to learn the heels technique, balance and explore body movements. Must be familir with basic spins and tricks: fireman, chair, martini.<br>
NO invert ability necessary!</p>
<p class=""font_8"">▪︎ 𝔾ℝ𝕆𝕌ℙ ℂ<br>
Advanced level students should be able to learn and dance fast choreos, to do shouldermount, forearm or handstand, inverts aerialy, and spins on static pole. You should be able to use platforms of shoes very confidently.<br>
Must be familiar with brass monkey, ayasha and advanced tricks wearing heels and all requirements above (group A&amp;B).</p>
<p class=""font_8""><br></p>
<p class=""font_8""><img alt=""🌴"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t8b/2/16/1f334.png"" width=""16""> PACKAGE 1 – (FLIGHTS included) – 𝟳 𝗻𝗶𝗴𝗵𝘁𝘀 𝗮𝗹𝗹 𝗶𝗻𝗰𝗹𝘂𝘀𝗶𝘃𝗲 – £1.150pp* *instalments available<br>
– Flight from Manchester (21.01.24) &amp; Return flight from Tenerife South to Manchester (28.01.2023) – Priority boarding, 10kg hand luggage included + small hand bag. Extra luggage 20kg can be add for additional price. Please mention when booking your place.<br>
– 3☆ Hotel – 7 nights (twin rooms with balcony fitted tv and air conditioning), FREE wifi in communal areas – 600yd from the beach, 4 outdoor pools, hot tube. Fitness centre and massage also available.<br>
CHECK – IN : 21.01.24 from 3:00pm ; CHECK – OUT : 28.01.2024 at 12:00pm.<br>
– ALL INCLUSIVE : All food and drinks at the Hotel included.<br>
– 5 INTERNATIONAL INSTRUCTORS!! Up to 15 hours workshop! Pole play time each day ( Pole Dance, Sexy Pole, Pole choreography, Floorwork, Striptease, Sensual Heels, and more)<br>
– Stretch on the beach<br>
– Opportunity to book private pole/dance lesson with instructor/s<br>
– 3 days Holidays – No classes – TIME for sun bathing, city viewing<br>
– Goodie bags from our Sponsors! included amazing vouchers, prizes, discounts!<br>
- Welcome drink!<br>
ATTENTION!<br>
– Transfers between Hotel and Studio are not included.<br>
– Transfers from AirPort to Hotel and return are not included. There is an option for all transfers included for additional £50.</p>
<p class=""font_8"">!!To BOOK your spot non refundable deposit (1st payment) of £150 is required! and other payments as below:<br>
(<img alt=""⚠️"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t5d/2/16/26a0.png"" width=""16"">BOOKINGS OPEN FRIDAY 28th April 2023 <img alt=""⚠️"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t5d/2/16/26a0.png"" width=""16"">) First come first served!<br>
2nd payment – £150– 31.05.2023<br>
3rd payment – £200 – 30.06.2023<br>
4th payment – £200 – 31.07.2023<br>
5th payment - £200 – 31.08.2023<br>
6th payment - £150 - 30.09.2023<br>
7th payment - £100 - 31.10.2023 FINAL PAYMENT!<img alt=""⚠️"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t5d/2/16/26a0.png"" width=""16""><br>
(ATTENTION! All payments are non refundable or non transferable!)<br>
!We strongly advise to get your own travel insurance before you travel!</p>
<p class=""font_8""><br></p>
<p class=""font_8""><img alt=""🌴"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t8b/2/16/1f334.png"" width=""16""> PACKAGE 2 – ( NO FLIGHTS INCLUDED ) – 𝟳 𝗻𝗶𝗴𝗵𝘁𝘀 𝗮𝗹𝗹 𝗶𝗻𝗰𝗹𝘂𝘀𝗶𝘃𝗲 – £1.050pp* *instalments available<br>
PACKAGE SUITABLE FOR PEOPLE WHO WISH TO FLY FROM AND BACK TO THEIR LOCAL AIRPORT. The closest AirPort is Tenerife South.<br>
– 3☆ Hotel – 7 nights (twin rooms with balcony fitted tv and air conditioning), FREE wifi in communal areas – 600yd from the beach, 4 outdoor pools, hot tube. Fitness centre and massage also available.<br>
CHECK – IN : 21.01.24 from 3:00pm ; CHECK – OUT : 28.01.2024 at 12:00pm.<br>
– ALL INCLUSIVE : All food and drinks at the Hotel included.<br>
– 5 INTERNATIONAL INSTRUCTORS!! Up to 15 hours workshop! Pole play time each day ( Pole Dance, Sexy Pole, Pole choreography, Floorwork, Striptease, Sensual Heels, and more)<br>
– Stretch on the beach<br>
– Opportunity to book private pole/dance lesson with instructor/s<br>
– 3 days Holidays – No classes – TIME for sun bathing, city viewing<br>
– Goodie bags from our Sponsors! included amazing vouchers, prizes, discounts!<br>
- Welcome drink!<br>
ATTENTION!<br>
– Transfers between Hotel and Studio are not included. There is an option for all transfers included for additional £35.<br>
– Transfers from AirPort to Hotel and return are not included. You must organise own transfer from Airport and to the Airport on your return.</p>
<p class=""font_8"">!!To BOOK your spot non refundable deposit (1st payment) of £150 is required! and other payments as below:<br>
(<img alt=""⚠️"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t5d/2/16/26a0.png"" width=""16"">BOOKINGS OPEN FRIDAY 28th April 2023 <img alt=""⚠️"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t5d/2/16/26a0.png"" width=""16"">) First come first served!<br>
2nd payment – £150– 31.05.2023<br>
3rd payment – £200 – 30.06.2023<br>
4th payment – £200 – 31.07.2023<br>
5th payment - £150 – 31.08.2023<br>
6th payment - £100 - 30.09.2023<br>
7th payment - £100 - 31.10.2023 FINAL PAYMENT!<img alt=""⚠️"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t5d/2/16/26a0.png"" width=""16""><br>
(ATTENTION! All payments are non refundable or non transferable!)<br>
!We strongly advise to get your own travel insurance before you travel!</p>
<p class=""font_8""><br></p>
<p class=""font_8""><img alt=""🌴"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t8b/2/16/1f334.png"" width=""16""> PACKAGE 3 – (𝗪𝗢𝗥𝗞𝗦𝗛𝗢𝗣𝗦 𝗢𝗡𝗟𝗬!) *£600 – all workshops in your group included. PACKAGE BEST FOR LOCAL PEOPLE OR WITH OWN ACOMMODATION.<br>
– 5 INTERNATIONAL INSTRUCTORS!! Up to 15 hours workshop! Pole play time each day ( Pole Dance, Sexy Pole, Pole choreography, Floorwork, Striptease, Sensual Heels, and more)<br>
– Stretch on the beach<br>
– Opportunity to book private pole/dance lesson with instructor/s<br>
– Goodie bags from our Sponsors! included amazing vouchers, prizes, discounts!</p>
<p class=""font_8"">You must to chose group A, group B or group C. Accommodation, flights, transfers not included in this package. Workshops only on (22nd, 23rd, 25th and 26th January 2024). First come first served! To BOOK your spot non refundable deposit of £150 (1st payment) is required! and other payments as below:<br>
2nd payment - £150 - 31.05.2023<br>
3rd payment - £150 - 30.06.2023<br>
4th payment - £150 - 31.07.2023 FINAL PAYMENT!<img alt=""⚠️"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t5d/2/16/26a0.png"" width=""16""><br>
(ATTENTION! All payments are non refundable or non transferable!)<br>
!We strongly advise to get your own sports events insurance before attending any sports events/activity.</p>
<p class=""font_8""><img alt=""💥"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/tdf/2/16/1f4a5.png"" width=""16""> THERE WILL BE NO OPTION TO PURCHASE SINGLE WORKSHOPS <img alt=""💥"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/tdf/2/16/1f4a5.png"" width=""16""><br>
PACKAGES 1,2 &amp; 3 AVAILBLE ONLY!</p>
<p class=""font_8"">￼<br>
` FIRST COME FIRST SERVED` – Please book correct group level you like to join when booking your place. Please speak to us if you are not sure.<br>
*all classes and timetable TBA on the arrival<br>
*deposit and all payments are Non-Refundable or Non-Transferable.<br>
Deposit is under your name! If you try to change name on your booking , The deposit for new person still need to be paid and you will lose yours.</p>
<p class=""font_8"">&gt;&gt;&gt; SHORT PLAN FOR GFFdamian Pole Dance Camp – TENERIFE SOUTH 2024 &lt;&lt;&lt;<br>
•SUNDAY 21.01.24 – CHECK IN after 3:00pm – DAY OFF – WELCOME DRINK ON THE EVENING – TIME TO MEET EVERYONE! CAMP RULES ETC.<br>
• MONDAY 22.01.24 – CLASSES<br>
• TUESDAY 23.01.24 – CLASSES<br>
• WEDNESDAY 24.01.24 – DAY OFF 'HOLIDAY' <img alt=""🌞"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/tfe/2/16/1f31e.png"" width=""16""><img alt=""😎"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t22/2/16/1f60e.png"" width=""16""><br>
• THURSDAY 25.01.24 – CLASSES<br>
• FRIDAY 26.01.24 – CLASSES<br>
• SATURDAY 27.01.24 – DAY OFF 'HOLIDAY' <img alt=""🌞"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/tfe/2/16/1f31e.png"" width=""16""><img alt=""😎"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t22/2/16/1f60e.png"" width=""16""><img alt=""🌴"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t8b/2/16/1f334.png"" width=""16""><br>
• SUNDAY 28.01.24 - DAY OFF - CHECK OUT at 12pm. You can still use the facility all day.<br>
</p>
<p class=""font_8""><img alt=""🎪"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/tca/2/16/1f3aa.png"" width=""16""> POLE STUDIO: TBA</p>
<p class=""font_8""><img alt=""🏨"" height=""16"" src=""https://static.xx.fbcdn.net/images/emoji.php/v9/t9d/2/16/1f3e8.png"" width=""16""> HOTEL: TBA</p>","<p class=""font_8"">1) 𝙎𝘼𝙎𝙃𝘼 𝙈𝙀𝙊𝙒 @sashameow_poledance<br>
2) 𝗝𝗔𝗭𝗭𝗬 𝗞 @jazzykpole<br>
3) 𝗕𝗘𝗔𝗡𝗜𝗘 𝗧𝗛𝗘 𝗝𝗘𝗧 @beanie_the_jet<br>
4) 𝗗𝗢𝗥𝗜𝗦 𝗔𝗥𝗡𝗢𝗟𝗗 @dorisarnoldpoledancer x<br>
5) 𝗔𝗥𝗧𝗨𝗥 𝗕𝗜𝗘𝗥𝗡𝗔𝗧 @art.biernat</p>","GFFdamian Dance Studio",,"Teneriffa","Teneriffa","#GFFdamianpolecamp is delighted to present the brand new POLE DANCE CAMP! The sexy version of our regular GFFdamian Pole Camp! 🔥👠👙",,,,,2023-05-23T09:24:40Z,,"01947b9c-0f24-4a6a-b636-10d1e0fd2b39",2023-05-23T09:32:04Z,,,,,,"/workshop/","/event/pole-dance-camp---tenerife-january"
"Christmas Cup","Wettkampf",,"2024-11-23","284241e1-0e53-4183-b67f-34edcfb7c8b1","https://rockthestage.eu/2024-2/",,"2024-11-23",,,,,"<p class=""font_8"">Sei dabei, wenn wir eine Revolution starten! Erstmalig und exklusiv nur bei uns. Bei unserem Christmas Cup gibt es in jedem Jahr ein anderes Motto. 2024 ist es die WINTER WONDERLAND EDITION und ihr dürft &nbsp;euch auf der Bühne an gleich mehreren Aerial Geräten austoben – IN NUR EINER SHOW!!! Mit unserem winterlichen Bühnenbild könnt ihr zeigen, was ihr drauf habt. In der Location sind bereits zwei Poles fest installiert. Zusätzlich könnt ihr noch 1-3 weitere Geräte wie Hoops, Moon, Ketten, Silks, Chairs oder andere Geräte hinzufügen und alles benutzen. Tanzt alleine, als Duo oder als Gruppe. Bei dieser Show gibt es keine Jury, sondern die Zuschauer bewerten euch. Sie werden euch über eine App bewerten und euch von «Ganz nette Show» (1 Punkt) bis zu «WOW, ich hatte Gänsehaut. Das war Genial» (10 Punkte), bewerten. Verzaubert die Zuschauer und zeigt ihnen, was ihr alles könnt. Rockt die Winter-Stage und werdet Teil einer unvergesslichen Show! Traut euch, die Bühne gehört euch! Und wie immer gibt es bei ROCK THE STAGE unglaublich tolle Preise zu gewinnen! Seid Teil dieser exklusiven Veranstaltung und meldet euch rechtzeitig an.</p>",,,,"Wissen","Deutschland",,"<p class=""font_8"">Geplant sind 6 Divisions:</p>
<ul class=""font_8"">
  <li><p class=""font_8"">Beginner Single</p></li>
  <li><p class=""font_8"">Fortgeschrittene Single</p></li>
  <li><p class=""font_8"">Beginner Double</p></li>
  <li><p class=""font_8"">Fortgeschrittene Double</p></li>
  <li><p class=""font_8"">Beginner Group</p></li>
  <li><p class=""font_8"">Fortgeschrittene Group</p></li>
</ul>",,,,2023-08-30T15:28:05Z,,"01e5f52c-e068-4f4e-8c32-3443bb59d765",2023-08-30T15:29:23Z,,,,,,"/workshop/","/event/christmas-cup"
"NORDIC POLE PLAYS Show","Wettkampf",true,"2023-07-15","284241e1-0e53-4183-b67f-34edcfb7c8b1","https://www.eversports.de/e/event/ky7s7lhxs",,"2023-07-15",,,,,"<p class=""font_8""><br></p>
<p class=""font_8"">Show us your Soul.</p>
<p class=""font_8"">&nbsp;</p>
<p class=""font_8"">Bei dieser Pole Meisterschaft im Norden Deutschlands, geht es um die Interpretation und einen aufregenden Auftritt.</p>
<p class=""font_8"">&nbsp;</p>
<p class=""font_8"">Das Besondere an diesem Wettbewerb ist, dass das Publikum und die Jury gleichberechtigt sind:</p>
<p class=""font_8"">&nbsp;</p>
<p class=""font_8"">Die Teilnehmer*innen werden von der Jury beurteilt und bekommen Punkte, das Publikum kann mithilfe des eigenen Handys jedem Act ebenfalls Punkte geben und somit bei der Entscheidung mitwirken. Die Wertung der Jury und die des Publikums tragen jeweils zu 50 % zu der Entscheidung bei.</p>
<p class=""font_8"">&nbsp;</p>
<p class=""font_8"">BEWERBUNGSINFOS</p>
<p class=""font_8"">&nbsp;</p>
<p class=""font_8"">Die Bewerbung ist für alle Personen offen (mindestens 18 Jahre)</p>
<p class=""font_8"">Die Bewerbung muss per Email an info@nordicpoleplays.de erfolgen 06.05.2023, 23:59 Uhr</p>
<p class=""font_8"">Die Bewerbungsgebühr über 30 Euro wird direkt bei Bewerbungseingang fällig (es können nur Bewerbungen mit erfolgter Zahlung berücksichtig werden). Die Zahlung erfolgt über Paypal mit Angabe deines Namens an: info@nordicpoleplays.de (eine Rückerstattung der Gebühr ist nicht möglich)</p>
<p class=""font_8"">Bei Auswahl als Finalist*in der Show werden weitere 20 Euro fällig.</p>
<p class=""font_8"">wenn ihr ein Double oder eine Gruppe seid, wird der Betrag pro Person fällig</p>",,,,"Hamburg",,".","<p>.</p>",,,,2023-03-08T16:51:40Z,,"022078a9-71a8-4d98-a526-28ab8a50b663",2023-07-25T15:29:54Z,,,true,,,"/workshop/","/event/nordic-pole-plays-show"
"Pole Flow mit Becky*","Workshop",,"2023-12-17","284241e1-0e53-4183-b67f-34edcfb7c8b1","https://www.eversports.de/e/workshop/UuOCTSe","15:00 - 16:00 Uhr",,"Intermediate","ab 35,00 €",,"Pole Flow","<p class=""font_8"">Für alle Ladies, die gerne ihre tänzerische Seite ausprägen möchten:</p>","<p class=""font_8"">Becky</p>",,"aff95b8f-66f1-49f0-997e-ff70484a05c7","Berlin","Deutschland",,,,,,2023-12-03T19:12:33Z,,"02c88514-78f6-4a1a-bad1-114a6d19e328",2023-12-03T19:14:25Z,,,,,,"/workshop/","/event/pole-flow-mit-becky*"
"Twerk Basics","Workshop",,"2024-01-28","284241e1-0e53-4183-b67f-34edcfb7c8b1","https://www.eversports.de/e/workshop/GGeNmMh","14:00 - 15:00 Uhr",,"Beginner","ab 35,00 €",,"Dance (no pole)","<p class=""font_8"">Twerking ist ein alter westafrikanischer Tanz, der Ähnlichkeiten zum „Mapouka Dance“ aus Cote D`Ivoire aufweist. Ähnlich wie andere afro-karibische Tänze, ist dieser Tanz ein Ausdruck des Widerstandes gegen männliche Vorgaben zur weiblichen Sexualität. Ursprünglich wurde Twerking zu afrikanischer Musik getanzt. Mittlerweile sind es Musikrichtungen wie Bounce/Crunk, Hip Hop and Trap Music. Der Begriff des „Twerking“ wurde erstmalig 1993 benutzt, als dieser Tanzstil über die Videos von Beyonce, Rihanna oder Nicki Minaj Einzug in die Musik- und Unterhaltungsindustrie hielt.</p>","<p class=""font_8"">Becky</p>",,"aff95b8f-66f1-49f0-997e-ff70484a05c7","Berlin","Deutschland",,,,,,2023-12-03T19:12:33Z,,"035cc08e-d30a-44e1-a9f9-97210bb729e8",2023-12-03T19:13:40Z,,,,,,"/workshop/","/event/twerk-basics"
"AERIAL HOOP • FOUNDATION WORKSHOP","Workshop",,"2023-12-09","284241e1-0e53-4183-b67f-34edcfb7c8b1","https://www.eversports.de/e/workshop/9mAPuP6","12:15 - 13:40 Uhr",,"Alle Level","ab 45,00 €",,"Aerial Art (no pole)","<p class=""font_8"">∎ WORKSHOP + SPECIAL | nur am 11.11.23 & 09.12.23</p>","<p class=""font_8"">Lena</p>",,"982cccee-c9f3-455d-b636-a45754a85624","München","Deutschland",,,,,,2023-12-03T19:12:32Z,,"041357a8-7611-49ee-ae5f-c1a906d31987",2023-12-03T19:16:36Z,,,,,,"/workshop/","/event/aerial-hoop-%E2%80%A2-foundation-workshop"
"Lap Dance Instructor","Ausbildung",,"2024-08-17","8b24d7d5-252b-4215-950a-a767a57913d9","https://www.polebaticseducation.de/termine.html",,"2024-08-18",,"400 €","2 Tage (16 UE)",,"<p>Lerne unter Berücksichtigung von tanzpädagogischer Methodik, sinnlich-dynamische Lap Dance-Choreographien für Beginner &amp; Intermediate zu entwerfen, methodisch zu unterrichten und akrobatische Lap Dance Tricks feinsäuberlich zu erklären, damit du einen fundierten und gesundheitsfördernden Unterricht anbieten kannst - für Kurse, Workshops oder Junggesellinnenabschiede. Dabei liegt der Fokus neben Tanztechnik und Sinnlichkeit auch bei den Themen Selbstbestimmung, konsensuelle Performance und Körperwahrnehmung.<br/><br/>TEILNAHMEVORAUSSETZUNG <br/>Trainer*in mit Trainernachweis (z.b. Pole Trainer*in-Ausbildung, Groupfitness-Lizenz, Sport- oder Yogalehrer*in). <br/><br/>REFERENTIN <br/>Nele Sehrt: Tanzpädagogin, Yogalehrerin, Fitness &amp; Personal Trainerin, Flexibility &amp; Mobility Coach, Psychologin, Sexual- &amp; Paartherapeutin, Pole &amp; Tease Teacher seit über 25 Jahren</p>",,"Polebatics Education",,"Hamburg",,"Teacher Training","<p>INHALTE  </p><p>- Aufbau &amp; Struktur von Lap Dance-Kursen (Beginner &amp; Intermediate)  </p><p>- anatomische Besonderheiten im Tease-Unterricht  </p><p>- Psychologie der Verführung  </p><p>- Ausbildungsmanual: Moves &amp; Tricks  </p><p>- Choreographien für Beginners &amp; Intermediate  </p><p>- Fokus auf sinnliche Ausführung &amp; saubere Transitions</p><p>- Konsens &amp; Empowerment</p><p>- Musik &amp; Playlist</p>","wix:image://v1/8b24d7_ed8daf6afd8c4960ac723f55335dcb40~mv2.png/Lap%20&%20Strip.png#originWidth=810&originHeight=450",,,2023-08-11T08:09:22Z,,"04a8ea14-daf4-45e0-9d50-23a5790d6eb9",2023-08-11T08:09:22Z,,,true,,,"/workshop/","/event/lap-dance-instructor"
"Pole Retreat Portugal","Pole Camp",true,"2023-08-25","284241e1-0e53-4183-b67f-34edcfb7c8b1","http://www.instagram.com/p/CppfADhqmBl/",,"2023-08-29",,"ab 85 €",,,"<p>Pole Retreat Portugal 🇵🇹<br/>Join us for a fun training &amp; holiday in the land of sun &amp; sea!! From the 25th to the 29th August 2023, our annual Pole Retreat will take place in the city of Lisbon. Lisbon, is the capital city of Portugal, is known for its beautiful architecture, charming streets, and rich cultural heritage.<br/><br/>In our Retreat you will find different options, to accommodate each person’s needs. In total we will have 14 hours of workshops that include Pole Sport, Exotic Pole, Flexibility and Yoga.<br/><br/>We will have 7 different pole dance locations, to showcase your talent or just to have fun and take amazing photos.<br/><br/>We have many activities prepared, to keep you busy, from exploring the city, to beach and boat trips! A perfect time to network with other pole dancers.<br/><br/>The Academy where we will host most of the workshops is Pole Dance Portugal and it is considered a premier destination for pole dance enthusiasts in Portugal <span style=""text-decoration:underline""><a href=https://www.instagram.com/poledanceportugal/ target=undefined>@poledanceportugal</a></span><br/><br/></p>","<p>We have an amazing team of instructors and organizers: </p><p><span style=""text-decoration:underline""><a href=https://www.instagram.com/albertamores_polesport/ target=_self>@albertamores_polesport</a></span> </p><p><span style=""text-decoration:underline""><a href=https://www.instagram.com/miguelitoareias/ target=_self>@miguelitoareias</a></span> </p><p><span style=""text-decoration:underline""><a href=https://www.instagram.com/inespoledance/ target=_self>@inespoledance</a></span> </p><p><span style=""text-decoration:underline""><a href=https://www.instagram.com/nellinha92/ target=_self>@nellinha92</a></span></p>","Pole Retreat Portugal",,"Lissabon","Portugal","find your strength, embrace your grace",,,,,2023-03-15T20:41:42Z,,"04dd517c-9ab0-4d87-a0bb-0108e3c4a101",2023-08-30T11:42:49Z,,,true,,,"/workshop/","/event/pole-retreat-portugal"
